--------------------------------------------------------------------------------
Начало расчёта 11/18/24 14:07:20
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.5693659429826602
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.4792971257783591
Количество витков = 214.8110367634102
  ДИАМЕТР ПРОВОДА, мм = 0.8
Общая длина провода, м = 13.76691500972762
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 26.8
Индуктивность катушки в стартовой позиции, микроГенри = 314.1375507274738
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 33.21727649355818
Длина пули, мм = 41
Диаметр пули, мм = 11.5
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 33.21727649355818
Стартовая позиция пули внутри катушки, мм = -21
Общее время, микросекунд = 2254.000000000001
Интервал расчёта,  микросекунд =23
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 26.94715680881295
  Энергия пули  конечная, Дж = 41.40563210527753
  Приращение энергии пули, Дж = 14.45847529646458
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 8.40819233672638
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 40.28
Конечная скорость пули, м/с = 49.93012997795002
Максимальая скорость пули, (в катушк), м/с = 50.36310423392609
Средняя сила, Н = 140.7777934459118
Конец расчёта 11/18/24 14:12:35
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
31.50728012612539	429.6103938479027	1.744399445451686e-009	40.28000000000121	0.92644	23	
61.63759185476719	428.8482085722793	0.02884397437552271	40.28001997187972	1.852880000000028	46	
90.44547575793186	427.7297967752726	0.1319315562005344	40.28011132271016	2.779320459353261	69	
117.9652678691736	426.2710864736646	0.3419333520305968	40.28034808104579	3.705763019775595	92	
144.1905442538736	424.4880851199877	0.6708801581070055	40.28081260569276	4.632211025639649	115	
169.1945109905074	422.3958949303201	1.189936905973767	40.28163653082228	5.558669715570582	138	
192.9795144148278	420.0095891069109	2.013608405562981	40.28303077496921	6.485147355779493	161	
215.5184250292385	417.3445763242913	3.015860681122811	40.28511898938616	7.411657063603786	184	
236.9188674791679	414.4149344146027	4.312398273036171	40.2881049403957	8.338214800359667	207	
257.1423930344245	411.2352166512738	6.405394285895537	40.29254010438647	9.264841213988769	229.9999999999999	
276.2686482646394	407.818991430797	8.940506833542415	40.29873060760883	10.19156963638966	253	
294.2476976353951	404.1804446320798	12.76825680804356	40.30757148613908	11.11844044036466	276	
311.1464922442646	400.3329342441131	16.62453753501073	40.31908249497749	12.04551458454586	299	
326.9166428305148	396.2904166177142	22.73919671068745	40.33482735968508	12.97285348193034	322	
341.5860593096499	392.0665029810895	30.8755479200871	40.35620592159998	13.9005545112031	345.0000000000001	
355.8466936635443	387.6662481669704	41.16758320045443	40.38471079959003	14.8287472473999	368.0000000000001	
369.6070897487051	383.0958379173896	54.90750961371076	40.42272935061001	15.75759559579047	391.0000000000001	
382.3952162997182	378.3672949201351	71.25619824655718	40.47206790971761	16.6873183708545	414.0000000000001	
394.4008185750904	373.4902955506581	88.23834872085205	40.53316509271433	17.61817593277801	437.0000000000001	
405.4853933404555	368.4762288588138	108.2056571047489	40.60808785508745	18.55043872991043	460.0000000000001	
