--------------------------------------------------------------------------------
Начало расчёта 11/19/24 10:08:35
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.5693659429826605
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.4792971257783594
Количество витков = 214.8110367634104
  ДИАМЕТР ПРОВОДА, мм = 0.8
Общая длина провода, м = 13.76691500972763
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 26.8
Индуктивность катушки в стартовой позиции, микроГенри = 313.6378818495047
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 33.21727649355815
Длина пули, мм = 41
Диаметр пули, мм = 11.5
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 33.21727649355815
Стартовая позиция пули внутри катушки, мм = -56
Общее время, микросекунд = 1668.000000000003
Интервал расчёта,  микросекунд =12
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 111.6764835713425
  Энергия пули  конечная, Дж = 125.7596240249298
  Приращение энергии пули, Дж = 14.08314045358736
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 8.189919836696014
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 82
Конечная скорость пули, м/с = 87.0168989724272
Максимальая скорость пули, (в катушк), м/с = 87.55276306859089
Средняя сила, Н = 99.19507161152512
Конец расчёта 11/19/24 10:15:45
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
16.46231444735442	429.8937915196945	3.314377892264439e-011	82.00000000000001	0.9840000000000001	12	
32.55056188560884	429.6837878946261	0.0001170361471064272	82.00000004228023	1.968	24	
48.27541368182952	429.3723336128078	0.0005618719604637229	82.00000024526086	2.952000000507363	36	
63.64306677543409	428.9617331819985	0.001434340262543414	82.00000076342747	3.936000003450494	48	
78.66588789631187	428.454211324603	0.002850680988931815	82.00000179325819	4.920000012611624	60	
93.35674187712395	427.8519097641054	0.004942784912847839	82.00000357887777	5.904000034130722	72	
107.6789054678842	427.1572071481836	0.007731456477924669	82.00000637192667	6.888000077077256	84.00000000000001	
121.6462035061121	426.3723929320152	0.01150411215043758	82.00001052787684	7.872000153540375	96	
135.3027190420823	425.4994721640017	0.01632204460756647	82.00001642434265	8.856000279874897	108	
148.6199538432242	424.54063375211	0.02223905166442533	82.00002445837338	9.84000047696701	120	
161.6583827825689	423.4976764438353	0.02901859944828234	82.00003494156857	10.82400077046749	132	
174.3258541675984	422.3729935137218	0.03841400267791974	82.0000488189264	11.80800118976631	144	
186.701792915316	421.1684658174939	0.04912358512582987	82.00006656520435	12.79200177559343	156	
198.7372333469793	419.8862901184812	0.06200998427772737	82.00008896679442	13.77600257437588	168	
210.4430897449505	418.528592765288	0.07716582629164565	82.00011684355053	14.76000364197742	179.9999999999999	
221.8675673277684	417.0971891051088	0.09645175209363709	82.00015168749764	15.74400504410002	191.9999999999999	
232.9960204913215	415.5939889729067	0.1174811154937527	82.00019412846615	16.72800686434999	203.9999999999999	
243.7763783005342	414.0212381451613	0.1435200917247532	82.00024597621776	17.71200919389159	215.9999999999999	
254.3274413934514	412.3804159426229	0.1747170526109151	82.0003090941146	18.6960121456062	227.9999999999999	
264.558969016051	410.6735838844548	0.2105303013604135	82.00038514982666	19.68001585473557	239.9999999999999	
