--------------------------------------------------------------------------------
Начало расчёта 11/20/24 23:59:05
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.804924492213535
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.714855675009234
Количество витков = 316.00360523044
  ДИАМЕТР ПРОВОДА, мм = 0.845
Общая длина провода, м = 22.90781250279404
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 32.15
Индуктивность катушки в стартовой позиции, микроГенри = 847.0456019509903
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 33.21727649355816
Длина пули, мм = 41
Диаметр пули, мм = 11.5
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 33.21727649355816
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 5299.999999999996
Интервал расчёта,  микросекунд =50
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001660863824677908
  Энергия пули  конечная, Дж = 9.776768294911753
  Приращение энергии пули, Дж = 9.776602208529285
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 5.685492424576659
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 24.26222625882594
Максимальая скорость пули, (в катушк), м/с = 24.45314105325113
Средняя сила, Н = 150.019317820436
Конец расчёта 11/21/24 00:05:12
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
25.84962479572163	429.3051176130182	3.544231848173693e-007	0.1000000005334922	0.004999999999999999	49.99999999999999	
49.94216210348865	427.9625863736771	3.472351747280161	0.1052267260718632	0.01000000002667461	99.99999999999999	
72.80985497204399	426.005332207762	13.01932663630046	0.1248239477748906	0.01526133633026777	150	
94.47634692045813	423.4656454625884	27.69788088874184	0.1665159282930907	0.0215025337190123	200	
115.0268607256766	420.3735255506078	46.50104359119812	0.2365111965689472	0.02982833013366684	250	
134.8299481937185	416.7490645776584	65.99689675609898	0.3358524185515769	0.04165388996211419	300	
153.7259439288835	412.6166467301078	83.2780103462722	0.4612058778612562	0.05844651088969304	350.0000000000001	
171.5488922823959	408.0051173676778	98.89667333304109	0.610069186013898	0.08150680478275585	400.0000000000001	
188.2580594553831	402.9444168446836	113.541722612123	0.7809768199286504	0.1120102640834508	450.0000000000001	
203.8317660185599	397.4650682957976	126.996148828347	0.9721366051882507	0.1510591050798833	500.0000000000001	
218.3397792178904	391.5957193920908	140.2650496458655	1.183269281392254	0.1996659353392958	550.0000000000001	
231.7622643378943	385.3655509959108	152.2676178753158	1.412468713056746	0.2588293994089085	600.0000000000001	
244.1343202139395	378.8028004525254	163.9098360042157	1.659192486506388	0.3294528350617458	650.0000000000002	
255.5070985634194	371.9343300610356	174.5441449401866	1.921923455696526	0.4124124593870652	700.0000000000002	
265.8247378257859	364.7885037753962	184.7515358599727	2.200019006208926	0.5085086321718914	750.0000000000002	
275.2694513634336	357.3887873408953	196.1821051900455	2.49532031609821	0.6185095824823377	800.0000000000002	
283.7312071077106	349.7616043541289	205.5086529499107	2.804660326242879	0.7432755982872481	850.0000000000002	
291.3312992256126	341.9301178158059	215.6849665493989	3.129318138859194	0.8835086145993921	900.0000000000003	
