--------------------------------------------------------------------------------
Начало расчёта 11/22/24 15:06:05
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.8170909264007399
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.7270221091964388
Количество витков = 296.2454816732721
  ДИАМЕТР ПРОВОДА, мм = 0.76
Общая длина провода, м = 18.84632323436074
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 26.5
Индуктивность катушки в стартовой позиции, микроГенри = 597.0346849294522
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 13.75408741616064
Длина пули, мм = 41
Диаметр пули, мм = 7.4
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 13.75408741616064
Стартовая позиция пули внутри катушки, мм = 2
Общее время, микросекунд = 4999.999999999997
Интервал расчёта,  микросекунд =50
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 6.877043708080321e-005
  Энергия пули  конечная, Дж = 3.664849233282558
  Приращение энергии пули, Дж = 3.664780462845477
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 2.131219120387932
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 23.08485570367537
Максимальая скорость пули, (в катушк), м/с = 23.91524264217108
Средняя сила, Н = 62.60113160320586
Конец расчёта 11/22/24 15:15:02
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
36.28648895651749	429.0245567484807	2.740152943252587e-007	0.1000000009961232	0.004999999999999999	49.99999999999999	
69.00468058268197	427.1695922166882	6.344081938490235	0.123062534141856	0.01000000004980616	99.99999999999999	
100.752599671538	424.4611889997114	20.2540174827988	0.196691619336563	0.01615312675689896	150	
130.530541681416	420.9523034706411	32.46763797512816	0.3147206713294261	0.02598770772372711	200	
158.0007283382709	416.7049720636983	43.48848949629166	0.4728136373709025	0.04172374129019841	250	
183.1604565806721	411.7813038760459	53.53406888325154	0.6674251272628113	0.06536442315874352	300	
206.1692461372689	406.2391198400978	63.00846926425373	0.8964787436816682	0.0987356795218841	350.0000000000001	
227.0271669268607	400.1362390087306	71.13965409908954	1.155091518003222	0.1435596167059675	400.0000000000001	
245.8404809590753	393.5276239291856	78.71415876075517	1.441239760264168	0.2013141926061286	450.0000000000001	
262.7330070459524	386.4649086860148	85.9803581798124	1.753802693660927	0.273376180619337	500.0000000000001	
277.7662692625789	378.9980734907842	92.05035420501982	2.0884317803456	0.3610663153023833	550.0000000000001	
291.113548542779	371.1724404654407	98.60754141369992	2.446898098139389	0.4654879043196633	600.0000000000001	
302.8332415552765	363.0317619290085	104.2164643247917	2.825754437973104	0.5878328092266327	650.0000000000002	
312.9660349355661	354.6186964737514	109.810583841769	3.224946985319956	0.7291205311252879	700.0000000000002	
321.6512301876746	345.9721580278462	115.355799139249	3.644297959502763	0.8903678803912857	750.0000000000002	
328.9394143872626	337.1297006518445	119.3810230781852	4.078281761793841	1.072582778366424	800.0000000000002	
334.9400646672547	328.1259354726172	123.5631882288479	4.527468917910301	1.276496866456116	850.0000000000002	
339.6834309174467	318.9946604479546	127.7541299331976	4.991891333108456	1.502870312351631	900.0000000000003	
343.3755338221619	309.7641353452083	131.0096735308962	5.468148570564152	1.752464879007054	950.0000000000003	
345.9057483565458	300.4655937227205	133.885086496416	5.954858747856994	2.025872307535261	1000	
347.4793766966237	291.1247502631339	137.9959765496345	6.45651317382601	2.323615244928111	1050	
348.1107748976958	281.7669337336259	141.4956139201953	6.970889771992538	2.646440903619411	1100	
347.9400795474362	272.4137057888024	144.5044362956852	7.496204290954722	2.994985392219038	1150	
