--------------------------------------------------------------------------------
Начало расчёта 11/22/24 14:52:24
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 3100
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.7869833995190174
Внешнее сопротивление, Ом = 0.05996129032258064
Сопротивление обмотки, Ом = 0.7270221091964367
Количество витков = 296.2454816732712
  ДИАМЕТР ПРОВОДА, мм = 0.76
Общая длина провода, м = 18.84632323436068
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 26.5
Индуктивность катушки в стартовой позиции, микроГенри = 590.0403516464839
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 13.75408741616064
Длина пули, мм = 41
Диаметр пули, мм = 7.4
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 13.75408741616064
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 5449.999999999995
Интервал расчёта,  микросекунд =50
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 6.877043708080321e-005
  Энергия пули  конечная, Дж = 3.171111748000848
  Приращение энергии пули, Дж = 3.171042977563767
  Энергия конденсатора начальная, Дж = 286.595
  Энергия конденсатора  конечная, Дж = 0.8180590280148044
  Расход энергии конденсатора, Дж = 285.7769409719851
  КПД, % = 1.109621709427783
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.47360108662262
Максимальая скорость пули, (в катушк), м/с = 28.66740052527958
Средняя сила, Н = 53.44988686246423
Конец расчёта 11/22/24 15:02:18
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
36.84453200442164	429.4057333547674	1.74091132396334e-007	0.1000000006328705	0.004999999999999999	49.99999999999999	
70.50474608525221	428.2685600308117	4.127437262531792	0.1150044030975596	0.01000000003164353	99.99999999999999	
102.2321839059284	426.6196538387806	14.84805630729649	0.168981289596952	0.01575022018652151	150	
132.3195778150589	424.485467099828	25.52760008001424	0.2617813398933463	0.02419928466636911	200	
160.3122372128624	421.8997858544593	34.88442820866753	0.3885961083078592	0.03728835166103642	250	
186.1964236428865	418.896617731187	43.32851023196897	0.546107504451304	0.05671815707642939	300	
210.0454908727099	415.50878723324	51.07344598229835	0.7317739337713931	0.08402353229899459	350.0000000000001	
231.9443790205467	411.7677488619409	58.49054496103616	0.9444036168295054	0.1206122289875642	400.0000000000001	
252.0476436836059	407.7024642863989	65.54607144659322	1.182682135292237	0.1678324098290395	450.0000000000001	
270.4443635304359	403.3404584230048	71.78411253372391	1.443637698397717	0.2269665165936513	500.0000000000001	
287.1649910708723	398.7087650186359	77.65368478284064	1.72593081764749	0.2991484015135372	550.0000000000001	
302.2961002380604	393.8330214664091	83.24955255289881	2.028566499805083	0.3854449423959117	600.0000000000001	
315.9999273334586	388.7362484449017	88.5093827916476	2.350323153349584	0.4868732673861659	650.0000000000002	
328.2878493010493	383.4412831335945	93.25044236745612	2.689314900115311	0.604389425053645	700.0000000000002	
339.269526557474	377.9691939955707	98.48616355919624	3.047339975059498	0.7388551700594106	750.0000000000002	
348.9598088224027	372.3408099823062	102.0349405843238	3.418265858751483	0.8912221688123855	800.0000000000002	
357.5677408954361	366.5735883549604	108.6537209001211	3.813252881927067	1.062135461749959	850.0000000000002	
365.0542605194404	360.6856164110985	111.9667662010868	4.220283762323861	1.252798105846313	900.0000000000003	
371.468946672471	354.694181787349	116.3554178357363	4.643268633348536	1.463812293962506	950.0000000000003	
376.9293605943757	348.6146759713107	120.621230612302	5.081760940990029	1.695975725629933	1000	
381.5355954311666	342.4608760450015	126.2167330699444	5.540594483525332	1.950063772679434	1050	
385.2927864382991	336.2464762637386	131.4895476127647	6.018596199067246	2.227093496855701	1100	
388.1802692183669	329.9855041795714	135.4124149680916	6.510858647570322	2.528023306809063	1150	
390.2918408576413	323.6904744883191	139.6894971962958	7.018669500336041	2.853566239187579	1200	
391.6991120499606	317.3727468746101	145.4637253569656	7.547471306503312	3.204499714204381	1250	
392.5394343100069	311.0414656760616	148.6325631815102	8.087792734906012	3.581873279529547	1300	
392.7167891831445	304.7073239150431	151.7854632798199	8.63957584739909	3.986262916274847	1350	
392.310415958403	298.3797365608753	156.0948971100501	9.207024971383293	4.418241708644802	1400	
391.4641817170082	292.0657981460848	160.8100910972061	9.791615159854318	4.878592957213966	1450	
390.0206898965495	285.7751418574308	163.5149823084859	10.38603839333021	5.368173715206683	1499.999999999999	
388.1324309109834	279.5149413588666	167.4685624481116	10.99483400942954	5.887475634873193	1549.999999999999	
385.8992232654335	273.2907603384563	169.6994056959865	11.61173937203686	6.43721733534467	1599.999999999999	
383.2072143949932	267.1099988159564	173.9644324794395	12.24414931395361	7.017804303946513	1649.999999999999	
380.1673600795705	260.9782672017698	174.877016459454	12.87987675688805	7.630011769644193	1699.999999999999	
376.8621560893944	254.8998453293602	176.150876500407	13.52023504155853	8.274005607488595	1749.999999999999	
373.1617960363886	248.881106683612	177.2598113150914	14.16462461809567	8.950017359566521	1799.999999999999	
