--------------------------------------------------------------------------------
Начало расчёта 12/14/24 16:59:01
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.3620783769529817
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.2720095597486806
Количество витков = 154.898054714027
  ДИАМЕТР ПРОВОДА, мм = 0.85
Общая длина провода, м = 8.820106956999886
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 22.25
Индуктивность катушки в стартовой позиции, микроГенри = 133.9974887357546
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 33.21727649355816
Длина пули, мм = 41
Диаметр пули, мм = 11.5
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 33.21727649355816
Стартовая позиция пули внутри катушки, мм = -39
Общее время, микросекунд = 1268.999999999997
Интервал расчёта,  микросекунд =9
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 144.1304326315812
  Энергия пули  конечная, Дж = 160.6762325431339
  Приращение энергии пули, Дж = 16.54579991155271
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 9.622056625524234
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 93.15600000000001
Конечная скорость пули, м/с = 98.3578002140585
Максимальая скорость пули, (в катушк), м/с = 98.71467932802112
Средняя сила, Н = 135.2031580396197
Конец расчёта 12/14/24 17:04:28
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
28.89243193137343	429.8601979100095	5.685768593418634e-011	93.15600000000002	0.838404	9	
57.05231392952975	429.5841383264796	0.0006908102894030889	93.15600018717048	1.676808	18	
84.51981689970424	429.1751714705133	0.003111931617351419	93.15600103032764	2.515212001684535	27	
111.2776795560067	428.6367310855648	0.008101948183038015	93.15600322549659	3.353616010957484	36	
137.3568235027519	427.9721012944224	0.01559755561623456	93.15600745155048	4.192020039986953	45	
162.7417598186887	427.1846411662675	0.02672847621374776	93.15601469345323	5.030424107050907	54.00000000000001	
187.4280564253033	426.2777312158225	0.04176143805555481	93.15602600843694	5.868828239291986	63	
211.5173469153349	425.2542601823612	0.06209856401617242	93.15604283362958	6.707232473367919	72	
234.8826877705992	424.1177310479873	0.08504665947295551	93.15606587645597	7.545636858870584	81	
257.6633780638409	422.8709727670333	0.1162728156850002	93.15609737980157	8.384041451758687	90	
279.7728264479736	421.5172332842205	0.1557194467941434	93.15613957094934	9.222446328176901	99.00000000000001	
301.2726233135149	420.0594625262519	0.2018847889236961	93.15619427028932	10.06085158431545	108	
322.2041465599039	418.5004102041878	0.2696179729547935	93.15626732148475	10.89925733274805	117	
342.4344101379722	416.8434695099718	0.3491880399217668	93.15636193166027	11.73766373864141	126	
361.9947070082176	415.0918822179966	0.4567790880205996	93.15648569291423	12.57607099602635	135	
381.0366081455437	413.2481566947117	0.5428739993716171	93.15663278101145	13.41447936726258	144	
399.5736869824439	411.3147356286676	0.6700682153882215	93.156814331535	14.25288906229169	153	
417.4378394602289	409.2948751151503	0.8389498600132685	93.15704163941624	15.0913003912755	162	
434.7892248261521	407.1910562853464	1.083640219720114	93.15733524452197	15.92971376603025	171	
451.4660430900501	405.0065431736203	1.357246414455181	93.15770298140529	16.76812978323095	180	
