--------------------------------------------------------------------------------
Начало расчёта 10/28/24 21:18:43
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2000
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.6967830814918341
Внешнее сопротивление, Ом = 0.07350000000000001
Сопротивление обмотки, Ом = 0.6232830814918341
Количество витков = 318.0015721897112
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 27.9728792837941
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 41
Индуктивность катушки в стартовой позиции, микроГенри = 1116.311176300368
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 15
Масса пули без оперения, г = 37.05068711937658
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937658
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 6344.999999999989
Интервал расчёта,  микросекунд =45
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001852534355968829
  Энергия пули  конечная, Дж = 7.850677874736384
  Приращение энергии пули, Дж = 7.850492621300787
  Энергия конденсатора начальная, Дж = 160
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 160
  КПД, % = 4.906557888312992
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 20.58592771822129
Максимальая скорость пули, (в катушк), м/с = 23.91094538883853
Средняя сила, Н = 118.7821124003099
Конец расчёта 10/28/24 21:27:04
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
16.42697246140997	399.6303931196183	3.951074455239793e-007	0.1000000004798787	0.004500000000000001	44.99999999999999	
32.04215050480056	398.9094447332602	1.587801475376933	0.101928468531274	0.009000000021594541	89.99999999999999	
47.19007273926609	397.8476680966267	6.083802072100514	0.1093175647810261	0.01358678110550187	135	
61.86975369676551	396.4555986384495	13.25580310182145	0.1254174319079169	0.01850607152064804	180	
76.0783590103766	394.743835560716	22.81096327116738	0.153122541502651	0.0241498559565043	225	
89.83268512961313	392.7226001452997	34.54381816241547	0.1950778178596108	0.03104037032412359	270	
103.2177064066126	390.400201751151	47.89749202911863	0.2532518305132959	0.03981887212780608	315	
116.3427402783649	387.7824900948878	61.05730899598807	0.3274091301057924	0.0512152045009044	360	
129.1280262707857	384.8771095037951	73.2356805985447	0.4163576998399011	0.06594861535566506	405.0000000000001	
141.5329769630872	381.6926175221256	84.64391767312455	0.5191621709963512	0.08468471184846059	450.0000000000001	
153.4615463701886	378.2397327287964	95.09705777172262	0.6346625282755423	0.1080470095432964	495	
164.9302436805312	374.5288022459844	105.685252917298	0.7630228031054044	0.1366068233156958	540	
175.9225364145978	370.570545176656	115.1775884827134	0.902912016631259	0.170942849455439	585	
186.4412289752407	366.3756175247131	124.7184249959372	1.054389075794409	0.2115738902038456	630	
196.4849589669711	361.9547059479562	133.8390274796169	1.216943584356627	0.2590213986145941	675	
206.0348821355642	357.318921099906	142.4778230036202	1.389990362531218	0.3137838599106422	720	
215.1151932383889	352.4788292520423	151.7260786882632	1.574269631603157	0.3763334262245471	765	
223.748169024856	347.444495448983	159.5036187834475	1.767995130461757	0.4471755596466891	810.0000000000001	
231.8857287585707	342.2270665519151	168.1362367149932	1.972205395923145	0.5267353405174682	855.0000000000001	
239.5825015166629	336.8364602677902	175.8353634969463	2.185766654095453	0.6154845833340096	900.0000000000001	
