--------------------------------------------------------------------------------
Начало расчёта 10/27/24 22:42:51
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1500
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 1.043224057811022
Внешнее сопротивление, Ом = 0.4383333333333333
Сопротивление обмотки, Ом = 0.6048907244776891
Количество витков = 271.0994843597486
  ДИАМЕТР ПРОВОДА, мм = 0.8
Общая длина провода, м = 17.37435662801738
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 30.8
Индуктивность катушки в стартовой позиции, микроГенри = 584.1707987365975
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504018
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504018
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4080.000000000008
Интервал расчёта,  микросекунд =40
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 5.881061447520092e-005
  Энергия пули  конечная, Дж = 2.738481196778054
  Приращение энергии пули, Дж = 2.738422386163579
  Энергия конденсатора начальная, Дж = 151.875
  Энергия конденсатора  конечная, Дж = 0.02553380660511215
  Расход энергии конденсатора, Дж = 151.8494661933949
  КПД, % = 1.803379659350225
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.57878674593983
Максимальая скорость пули, (в катушк), м/с = 25.53208041416466
Средняя сила, Н = 61.31944886944289
Конец расчёта 10/27/24 22:46:01
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
31.16743617047782	449.1688683687872	2.600202732909728e-007	0.1000000008842631	0.004	40	
59.44840666708117	447.5835775243318	3.895360353632254	0.1132471345467581	0.008000000035370521	80	
85.64035490018689	445.2998347269934	14.16311018366905	0.1614122840186831	0.01252988541724085	120	
110.5450072504958	442.3519678669802	27.22444069274702	0.2539957094281454	0.01898637677798817	160	
133.745809294066	438.7854129524718	38.43902509782912	0.3847170951536354	0.02914620515511399	200	
155.0869456029191	434.6497610697273	48.45744192604148	0.5495085783185489	0.0445348889612594	240	
174.570480834697	429.9945482474687	57.65978596056711	0.7455949021058337	0.06651523209400136	280	
192.2902161080029	424.8668091512553	65.89887313959574	0.9697002739937053	0.0963390281782347	320	
208.3250795316167	419.3114736970788	73.84513360991237	1.220828864534282	0.1351270391379829	359.9999999999999	
222.7810767159913	413.3706449846524	80.88849177189992	1.495910131729709	0.1839601937193542	399.9999999999999	
235.7607329331467	407.0836921064352	87.46501492303665	1.79335648798201	0.2437965989885426	439.9999999999999	
247.2942001823814	400.4891801015717	93.66927423938572	2.111901958303133	0.315530858507823	479.9999999999999	
257.513939871256	393.6221417050049	99.29341101094998	2.449573692893901	0.4000069368399484	520	
266.473085283839	386.5161927641025	105.0029287884245	2.806662050923902	0.4979898845557044	560	
274.2450757634637	379.2029907437435	110.712902270905	3.183168582130407	0.6102563665926605	600	
280.9483915067239	371.7110336368975	114.9192722417006	3.573979911912243	0.7375831098778768	640	
286.5839068469747	364.0687961209782	120.6166181520812	3.984166471697101	0.8805423063543665	679.9999999999999	
291.2711034101046	356.3015666967088	124.8992636633294	4.408917223845751	1.03990896522225	719.9999999999999	
295.0123993241244	348.4345693813988	128.7968864864238	4.846922803742333	1.216265654176081	759.9999999999999	
297.9614985797807	340.4889294192714	133.0012814495257	5.299226465713454	1.410142566325774	799.9999999999999	
300.0477232568908	332.4876567990876	136.9571379901852	5.764982993552273	1.622111624954312	839.9999999999999	
301.477814228639	324.4482484196573	141.4178736952735	6.245909353384498	1.852710944696403	879.9999999999999	
302.1635183097787	316.3905545980632	145.1761751442386	6.739616744268693	2.102547318831783	919.9999999999999	
302.2505284574426	308.3305405058647	149.8120532775422	7.249089582171838	2.372131988602531	959.9999999999999	
301.7429635045994	300.2840614790754	153.5753004740658	7.771360270361383	2.662095571889404	1000	
300.712013025105	292.2650744650726	156.4732977577315	8.30348631309713	2.972949982703859	1040	
299.1728172822306	284.2871326708798	161.5786101664482	8.852974229890048	3.305089435227744	1080	
297.1924411652109	276.3620009064741	163.3224273574424	9.40839242714868	3.659208404423346	1120	
294.7177756735856	268.5028602218452	167.1747214420204	9.97691130059971	4.035544101509293	1160.000000000001	
291.9469737415483	260.7176075887372	169.6950631153676	10.55400121754633	4.434620553533282	1200.000000000001	
288.8495464798703	253.0149530159407	171.1036797654787	11.1358814828431	4.856780602235135	1240.000000000001	
