--------------------------------------------------------------------------------
Начало расчёта 10/28/24 19:49:45
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2000
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.5824964189012155
Внешнее сопротивление, Ом = 0.07350000000000001
Сопротивление обмотки, Ом = 0.5089964189012155
Количество витков = 290.8550965149802
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 22.84370586111238
Длина катушки, мм = 46
Внешний диаметр катушки, мм = 36.00000000000001
Индуктивность катушки в стартовой позиции, микроГенри = 725.3746460845434
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.0506871193766
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.0506871193766
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 6209.999999999989
Интервал расчёта,  микросекунд =45
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.000185253435596883
  Энергия пули  конечная, Дж = 8.105636144816945
  Приращение энергии пули, Дж = 8.105450891381349
  Энергия конденсатора начальная, Дж = 160
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 160
  КПД, % = 5.065906807113343
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 20.91753078974582
Максимальая скорость пули, (в катушк), м/с = 22.42768095554298
Средняя сила, Н = 123.3099632116484
Конец расчёта 10/28/24 19:56:40
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
25.25966684366992	399.4316574960174	2.639734897041925e-007	0.1000000003206096	0.004500000000000001	44.99999999999999	
49.11699783280078	398.3265250447794	2.470528629326541	0.1030005867324485	0.009000000014427433	89.99999999999999	
72.04329873334419	396.7055508232791	9.394750594853841	0.1144110033707766	0.01363502641738761	135	
94.04168020548326	394.5896130186557	20.22522975007898	0.1389756041788835	0.01878352156907256	180	
115.1182692175727	391.9994519612603	34.47411549436097	0.180846222994882	0.02503742375712231	225	
135.3819645690528	388.9533577584566	51.49407878179576	0.2433884786274085	0.033175503791892	270	
155.0465378778572	385.4648106562048	68.52615985384662	0.3266170887605364	0.04412798533012539	315	
173.9936797254664	381.5499528623818	83.96682950364929	0.4285992008733278	0.05882575432434953	360	
192.0713680170553	377.2283470819981	98.17791459725531	0.5478414201239926	0.07811271836364928	405.0000000000001	
209.2718418297132	372.5197306408296	111.2219447857976	0.6829262972069714	0.1027655822692289	450.0000000000001	
225.5463433465127	367.444937915533	123.7577865177678	0.8332366106258836	0.1334972656435426	495	
240.893425448195	362.0248358429486	135.2961284606182	0.9975608446437669	0.1709929131217074	540	
255.3068860256388	356.2804309073717	146.6824601255725	1.175714374816727	0.2158831511306769	585	
268.8387649540231	350.2315586959062	157.515242346432	1.367024886353299	0.2687902979974296	630	
281.4581498800985	343.898750323604	167.6851046171176	1.570687228254214	0.3303064178833281	675	
293.1978948126826	337.3017976903187	177.9427061006101	1.78680796438868	0.4009873431547678	720	
304.0651496708131	330.4603318227254	187.5921125254201	2.014648410004306	0.4813937015522584	765	
314.1242380917252	323.3925364656616	196.6948222096175	2.253544573276911	0.572052880002452	810.0000000000001	
323.262142570416	316.1191382578272	204.9834857729823	2.502507752557873	0.673462385799913	855.0000000000001	
331.6513999366136	308.6569817592534	214.1454338474545	2.762598597623356	0.7860752346650174	900.0000000000001	
339.164530069881	301.0257798326811	222.2125854053418	3.032487420765069	0.9103921715580684	945.0000000000001	
345.8948860639792	293.2431448962416	231.1437941939129	3.313223664743831	1.046854105492497	990	
351.903103387864	285.3253250700146	240.3331314321737	3.605120840081015	1.195949170405969	1035	
357.207996427194	277.2881451504028	247.2848387859765	3.905461228088269	1.358179608209615	1080	
361.7253780414545	269.14932414447	255.1832614896018	4.215394664141243	1.533925363473587	1125	
365.5653180182517	260.9241044890594	263.3241244194686	4.535215604592279	1.723618123359943	1170	
368.6888707451681	252.6286048972931	271.9115746178645	4.865466453068574	1.927702825566595	1215	
371.1882028239185	244.2768703337549	278.9109533163084	5.204218413559747	2.146648815954681	1259.999999999999	
373.0049760759368	235.8842583720463	285.7734881719803	5.551305282051688	2.38083864456487	1304.999999999999	
374.2240049929115	227.4642182597058	293.0571906944744	5.907238588733997	2.630647382257195	1349.999999999999	
374.8635282966385	219.0297888730314	299.8998080471641	6.271482612566542	2.896473118750225	1394.999999999999	
374.9183636695165	210.5941256904673	306.0020271285304	6.643138101071165	3.17868983631572	1439.999999999999	
374.4242042814345	202.169581094135	312.5123473952327	7.022700714511358	3.477631050863922	1484.999999999999	
373.3909683701853	193.7682843058059	318.4197754178647	7.409438208680805	3.793652583016933	1529.999999999999	
371.8354016560874	185.4019877685439	323.4713315731794	7.802311082371197	4.127077302407569	1574.999999999999	
369.8273446851813	177.0808725131273	328.8555340665721	8.201723351982157	4.478181301114272	1619.999999999999	
367.2298689193229	168.8182004624426	333.9143754370869	8.607279849389478	4.84725885195347	1664.999999999998	
364.2934470308004	160.6215979042495	338.8300466908154	9.018806686987928	5.234586445175996	1709.999999999998	
360.9771561918663	152.4996118899325	341.9719261023104	9.434149501684502	5.640432746090453	1754.999999999998	
357.2731943824186	144.4609650163281	344.6790920058674	9.852780311156113	6.064969473666255	1799.999999999998	
353.0753410003537	136.5167698438202	346.2665700856683	10.27333919589826	6.50834458766828	1844.999999999998	
348.5190685741376	128.6750908009021	348.7337524026987	10.69689460278069	6.970644851483702	1889.999999999998	
343.7263564481129	120.9412477808195	350.6067269918179	11.12272483539683	7.452005108608833	1934.999999999998	
338.5064442047288	113.3248527862131	350.9653995268355	11.54899069459187	7.95252772620169	1979.999999999998	
333.0324930238242	105.8316216931771	351.0067464125323	11.97530677174509	8.472232307458324	2024.999999999998	
327.2599039432987	98.46827385445286	349.991752921891	12.40039008614463	9.011121112186853	2069.999999999998	
321.2140083395975	91.24095866681192	348.8246669121587	12.82405591346037	9.56913866606336	2114.999999999998	
314.9892500264871	84.15370054121595	347.0711219871807	13.24559196862451	10.14622118216908	2159.999999999997	
308.4617378909838	77.21331143866883	343.6916233930577	13.66302344574817	10.74227282075718	2204.999999999997	
301.7533117969156	70.42386192323822	340.4334921159044	14.07649775179427	11.35710887581585	2249.999999999997	
294.9282614518516	63.78797604057156	335.8138212772621	14.48436122565611	11.99055127464659	2294.999999999997	
287.8710355137572	57.31087774151202	330.7088573968364	14.88602445351767	12.64234752980111	2339.999999999997	
280.7013408812275	50.9950975716844	325.8836564374207	15.28182722209884	13.31221863020941	2384.999999999997	
273.3609481197802	44.84447623898935	318.9527425785619	15.66921203279859	13.99990085520386	2429.999999999997	
265.8703453149607	38.86239346940273	312.3398159955222	16.04856509781767	14.70501539667979	2474.999999999997	
258.3067800641501	33.05049091795935	305.7737617308118	16.41994334604159	15.42720082608159	2519.999999999997	
250.615467653467	27.41164289575634	298.4858362294765	16.78247002704616	16.16609827665346	2564.999999999996	
242.9184767758014	21.94597716830081	290.1294954575666	17.13484749452806	16.92130942787054	2609.999999999996	
235.1017244222018	16.65618836880127	281.5559668744811	17.47681196251564	17.6923775651243	2654.999999999996	
227.2537872732622	11.54297815515288	273.3606412680137	17.80882277833199	18.4788341034375	2699.999999999996	
219.3780536617121	6.606971947764355	264.4767918788995	18.13004369378233	19.28023112846244	2744.999999999996	
211.4960223605297	1.848311444652438	254.9659894851177	18.43971324160646	20.09608309468265	2789.999999999996	
203.5628145174535	0	244.8629346402392	18.73711210018385	20.92587019055494	2834.999999999996	
