--------------------------------------------------------------------------------
Начало расчёта 10/28/24 18:04:52
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2000
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.6745229714385543
Внешнее сопротивление, Ом = 0.07350000000000001
Сопротивление обмотки, Ом = 0.6010229714385543
Количество витков = 318.0015721897112
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 26.97384788080146
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 40
Индуктивность катушки в стартовой позиции, микроГенри = 1039.954483084108
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937659
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937659
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 6164.999999999989
Интервал расчёта,  микросекунд =45
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.000185253435596883
  Энергия пули  конечная, Дж = 8.259225452910792
  Приращение энергии пули, Дж = 8.259040199475196
  Энергия конденсатора начальная, Дж = 160
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 160
  КПД, % = 5.161900124671998
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.11477827012165
Максимальая скорость пули, (в катушк), м/с = 24.38712177259091
Средняя сила, Н = 125.3803501721983
Конец расчёта 10/28/24 18:13:21
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
17.64230451881706	399.6030481483266	3.887552381012938e-007	0.1000000004721636	0.004500000000000001	44.99999999999999	
34.39247273530198	398.8292175117823	1.791810440128571	0.1021762480960199	0.009000000021247363	89.99999999999999	
50.61837106854659	397.69030416274	6.861821693396734	0.1105102899238533	0.01359793118556826	135	
66.32489692330481	396.1979939819656	14.90059255743738	0.1286078399888294	0.01857089423214166	180	
81.50880932160635	394.3640457722295	25.58524948996258	0.1596824654968188	0.02435824703163898	225	
96.18309325209988	392.1999261740572	38.64254698765865	0.2066158626789518	0.03154395797899583	270	
110.4937823940295	389.7138160701916	53.18571782403041	0.2712127025262134	0.04084167179954865	315	
124.5156544258764	386.9122138456094	67.00598711961031	0.3525949832560504	0.05304624341322826	360	
138.1381160547796	383.8041062343768	79.86550354103808	0.4495958201843127	0.06891301765975051	405.0000000000001	
151.2567102243589	380.4008302543288	92.07973460490199	0.5614314804480489	0.08914482956804459	450.0000000000001	
163.8771970317703	376.7135933211139	103.1448634727177	0.6867063192470546	0.1144092461882068	495	
175.9885897984717	372.7538500506483	114.0653186267001	0.8252446227787347	0.1453110305543242	540	
187.5820816584231	368.5332532133338	124.5042721117447	0.9764615820479851	0.1824470385793673	585	
198.6092924239188	364.0645441337956	134.1651869876901	1.139412228415043	0.2263878097715266	630	
209.1351054658935	359.359004260813	143.9630373873452	1.314262877245319	0.2776613600502036	675	
219.1004424135702	354.4292443065077	153.2126761800382	1.50034769683011	0.3368031895262429	720	
228.5344508635516	349.2872191620778	162.179688811832	1.697323422894734	0.4043188358835979	765	
237.4705621762982	343.944131513111	171.0850591761536	1.905115187676894	0.4806983899138609	810.0000000000001	
245.8789599005343	338.411854915349	179.9527960835394	2.123677283372126	0.5664285733593212	855.0000000000001	
