--------------------------------------------------------------------------------
Начало расчёта 10/28/24 20:49:35
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2220
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.5303153558397254
Внешнее сопротивление, Ом = 0.06656306306306306
Сопротивление обмотки, Ом = 0.4637522927766624
Количество витков = 265.0013101580927
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 20.81315422901348
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 36.00000000000001
Индуктивность катушки в стартовой позиции, микроГенри = 652.0897694151768
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937663
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937663
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 5804.99999999999
Интервал расчёта,  микросекунд =45
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001852534355968832
  Энергия пули  конечная, Дж = 8.991511786717251
  Приращение энергии пули, Дж = 8.991326533281654
  Энергия конденсатора начальная, Дж = 177.6
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 177.6
  КПД, % = 5.062683858829762
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 22.03094993322684
Максимальая скорость пули, (в катушк), м/с = 24.05432564885451
Средняя сила, Н = 138.8985921720858
Конец расчёта 10/28/24 20:57:01
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
28.14406409885157	399.4295122142125	2.621425572952797e-007	0.1000000003183859	0.004500000000000001	44.99999999999999	
54.66823105557344	398.3213723955184	3.052985551302266	0.1037080111675761	0.009000000014327365	89.99999999999999	
80.14343585915117	396.6968432902654	11.57545381642368	0.1177670060807001	0.01366686051686829	135	
104.5822125590273	394.576933576231	24.92806945305054	0.1480434520146979	0.0189663757904998	180	
127.9935531731792	391.9824696605584	42.33020900632	0.1994557078561882	0.0256283311311612	225	
150.7406569819379	388.9269158028164	62.12062795101092	0.2749044640098507	0.03460383798468966	270	
172.8051077667994	385.4241095643002	80.25195069760018	0.3723746612495495	0.04697453886513294	315	
194.0057872555969	381.4915598226327	96.74591993353141	0.489877647981801	0.06373139862136268	360	
214.1540724941057	377.1505988936982	111.7872608075034	0.6256491309810154	0.08577589278054372	405.0000000000001	
233.299218830798	372.4215606741549	126.5020765458302	0.7792925283685167	0.1139301036746894	450.0000000000001	
251.3804450272657	367.3260111127914	139.9746226506859	0.9492990386117967	0.1489982674512727	495	
268.420405514699	361.8850569469529	153.1270699640279	1.135279884963701	0.1917167241888035	540	
284.4252078204038	356.1196811127556	165.7866693973083	1.336636477861468	0.24280431901217	585	
299.373076848297	350.0513079333982	177.5076175208136	1.552228776128432	0.3029529605159361	630	
313.390882226142	343.6987900504359	189.776530104456	1.782722311300532	0.3728032554417155	675	
326.3158684090815	337.0842792043059	199.4095569177172	2.024915662057701	0.4530257594502395	720	
338.3235488635555	330.2263694300446	211.1039218354955	2.281312431488441	0.544146964242836	765	
349.3524737571505	323.1449003673997	220.4530797431096	2.549064242850984	0.6468060236598159	810.0000000000001	
359.4196200784264	315.8593675279721	232.0195276013241	2.830864110918728	0.7615139145881101	855.0000000000001	
368.5687503563598	308.3883793450729	242.4363210298884	3.125315720174835	0.8889027995794528	900.0000000000001	
