--------------------------------------------------------------------------------
Начало расчёта 10/28/24 20:31:24
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2220
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.5264254202223689
Внешнее сопротивление, Ом = 0.06656306306306306
Сопротивление обмотки, Ом = 0.4598623571593059
Количество витков = 288.5410868450547
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 25.88902763548181
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 43.12000000000001
Индуктивность катушки в стартовой позиции, микроГенри = 921.0631312495635
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937661
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937661
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 6209.999999999989
Интервал расчёта,  микросекунд =45
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001852534355968831
  Энергия пули  конечная, Дж = 8.299683032478953
  Приращение энергии пули, Дж = 8.299497779043357
  Энергия конденсатора начальная, Дж = 177.6
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 177.6
  КПД, % = 4.673140641353243
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.16643016217556
Максимальая скорость пули, (в катушк), м/с = 25.3582487591395
Средняя сила, Н = 124.7842865964772
Конец расчёта 10/28/24 20:39:33
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
19.9397670789875	399.5958155321827	3.251678062123843e-007	0.1000000003949333	0.004500000000000001	44.99999999999999	
38.93266587957508	398.8066398724616	1.929121690784325	0.1023430197242536	0.009000000017772	89.99999999999999	
57.39845180103362	397.6431577413595	7.398391543204242	0.1113287537369995	0.01360543590536341	135	
75.32736225961898	396.1162517496105	16.10619504272384	0.1308905711626076	0.01861522982352839	180	
92.7313314048609	394.2365625995119	27.80666481365546	0.1646632219256779	0.02450530552584573	225	
109.6259648175525	392.014414664021	42.04107252540149	0.2157243063678521	0.03191515051250123	270	
126.2977755466375	389.4543246191567	57.03541602270275	0.284996806301581	0.04162274429905458	315	
142.6565912201718	386.5626369592883	71.05781344121932	0.3713002423094547	0.05444760058262572	360	
158.5230934528625	383.3493310109195	84.07316319038729	0.4734115022539122	0.07115611148655117	405.0000000000001	
173.8832530523735	379.8246704760741	96.58327653210404	0.590716950056841	0.09245962908797721	450.0000000000001	
188.6954137210465	375.9997634411881	108.085820847361	0.721992840365163	0.1190418918405351	495	
202.9479239285276	371.8859541723666	119.3611877303342	0.8669632542891737	0.1515315696569674	540	
216.5945273907697	367.4955245630942	130.0067279605841	1.024863234372585	0.1905449160999802	585	
229.6801428750082	362.8398459913035	140.6921429356184	1.195741210581339	0.2366637616467465	630	
242.1791350911347	357.9308094691859	151.0353816752242	1.379181591956362	0.2904721161229067	675	
254.0847717026502	352.7804424752133	161.0695022318325	1.57480893827464	0.3525352877609431	720	
265.3490762748624	347.4017449831553	170.8755388990162	1.782346229706797	0.4234016899833019	765	
276.1179486480186	341.8047595375873	180.4671065313417	2.001532982377392	0.5036072703201078	810.0000000000001	
286.265657549469	336.0020772899629	189.995132876315	2.232292022065021	0.5936762545270904	855.0000000000001	
295.8785688540193	330.0045387321112	198.9588430478394	2.473937957221525	0.6941293955200163	900.0000000000001	
304.8812476841306	323.8245134412167	208.2141094692737	2.726824898182391	0.8054566035949849	945.0000000000001	
313.327909309552	317.4732720362933	217.2144536971036	2.990643228592187	0.9281637240131926	990	
321.2370357894924	310.9617105000198	225.6871848377244	3.264752134723277	1.062742669299841	1035	
328.6264991412903	304.3003625444531	235.720787824532	3.551047377181992	1.209656515362389	1080	
335.4265162773156	297.5011764036967	243.5965303193158	3.846908121384937	1.369453647335578	1125	
341.6973061755517	290.574879656895	252.7214168057732	4.153851518132693	1.5425645127979	1170	
347.4424915986785	283.5321264488137	261.1807929092692	4.471069270209698	1.729487831113872	1215	
352.5783388447256	276.3852682289882	269.7449363391366	4.798688623020918	1.930685948273308	1259.999999999999	
357.3581501452512	269.1415219422601	279.0451068718625	5.137603520031473	2.146626936309249	1304.999999999999	
361.499553071809	261.8138282989127	287.373407263928	5.486633574054782	2.377819094710666	1349.999999999999	
365.1982627200486	254.4111608113441	296.1261420406177	5.846294282880308	2.624717605543131	1394.999999999999	
368.4606008401582	246.9423648483679	304.676120777572	6.216339388678644	2.887800848272744	1439.999999999999	
371.1907233113832	239.4182285650291	312.3775436000837	6.595738275849411	3.167536120763284	1484.999999999999	
373.4968206862289	231.8473470646325	321.9144654044347	6.986720254038518	3.464344343176506	1529.999999999999	
375.3641210655686	224.238614880871	329.2047051285556	7.386556610191749	3.77874675460824	1574.999999999999	
376.7011196888446	216.6027813736647	336.6604900978613	7.795448407679651	4.111141802066868	1619.999999999999	
377.6257934120189	208.9482044801778	344.1645546758642	8.213454284615585	4.461936980412452	1664.999999999998	
378.1684594468772	201.2826275994979	352.2746720613192	8.641310323875622	4.831542423220154	1709.999999999998	
378.26881797195	193.6150164243908	358.4898987945564	9.0767150815196	5.220401387794556	1754.999999999998	
377.9523519866432	185.9538201003372	366.8683119183423	9.522295860713612	5.628853566462939	1799.999999999998	
377.3271399366034	178.3052969935142	371.4601476396879	9.973453664884106	6.057356880195052	1844.999999999998	
376.2656068856607	170.6782914485346	376.5675863041634	10.43081472080971	6.506162295114836	1889.999999999998	
374.8689900776294	163.0795957037178	381.8061273238438	10.89453825916718	6.975548957551273	1934.999999999998	
373.058283886295	155.5176034627794	387.2074201568772	11.36482195055781	7.465803179213796	1979.999999999998	
370.9504237360685	147.998338116778	390.9843817135703	11.83969295957371	7.977220166988897	2024.999999999998	
368.4987550708972	140.5287687572328	396.8303576688858	12.32166421256461	8.510006350169713	2069.999999999998	
365.7479558221609	133.1149588419187	398.0680826597612	12.80513874738157	9.06448123973512	2114.999999999998	
362.6284478927981	125.7643821954431	400.3682209664397	13.29140692063948	9.64071248336729	2159.999999999997	
359.2628576881315	118.482026972035	403.2850565520293	13.7812177434825	10.23882579479607	2204.999999999997	
