--------------------------------------------------------------------------------
Начало расчёта 10/28/24 14:28:24
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 2000
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.7487233382828202
Внешнее сопротивление, Ом = 0.07350000000000001
Сопротивление обмотки, Ом = 0.6752233382828202
Количество витков = 344.5017032055205
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 30.30395255744361
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 42
Индуктивность катушки в стартовой позиции, микроГенри = 1275.261628899111
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937656
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937656
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 6160.000000000014
Интервал расчёта,  микросекунд =40
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001852534355968829
  Энергия пули  конечная, Дж = 8.418162728271009
  Приращение энергии пули, Дж = 8.417977474835412
  Энергия конденсатора начальная, Дж = 202.5
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 202.5
  КПД, % = 4.157025913498969
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.31697239971364
Максимальая скорость пули, (в катушк), м/с = 26.88686655790159
Средняя сила, Н = 126.7908719358449
Конец расчёта 10/28/24 14:37:57
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
14.3614490913764	449.7127710181725	4.605604415328108e-007	0.100000000497222	0.004	40	
28.07768922620647	449.1512172336484	1.412477404318636	0.1015249140835938	0.008000000019888881	80	
41.45462164660544	448.3221248007163	5.436360602979542	0.1073940204626077	0.01206099658323263	120	
54.49302862222689	447.2322642282717	11.87971372622971	0.1202193844705177	0.01635675740173694	160	
67.19390676884217	445.8883860928949	20.56872609364615	0.1424254245662106	0.02116553278055765	200	
79.55799412069523	444.297226210481	31.25526312362533	0.1761686725906496	0.02686254976320607	240	
91.61109536219641	442.4650043032371	43.70376365480501	0.2233513480579006	0.03390929666683205	280	
103.519652562629	440.3946112519845	56.55969600785146	0.2844133152226306	0.04284335058914807	320	
115.2279380713821	438.0900524905569	68.70331553305137	0.3585855596527441	0.0542198831980533	359.9999999999999	
126.7033649247136	435.5559851920626	80.10238303994522	0.4450642614180927	0.06856330558416307	399.9999999999999	
137.8358024786754	432.7992691424891	90.69267428365245	0.5429762639582264	0.08636587604088677	439.9999999999999	
148.6570643638151	429.8261278552128	101.0497059949244	0.6520697397896941	0.1080849265992158	479.9999999999999	
159.1339063015313	426.6434497291822	110.9312136247576	0.7718313121107034	0.1341677161908036	520	
169.2598198464955	423.2582533322523	120.4756069283808	0.9018970315832853	0.1650409686752317	560	
179.0375345057011	419.6775026421382	129.8198134299806	1.042050776113533	0.2011168499385631	600	
188.4660289903857	415.9081820623305	139.207922859813	1.192339943395411	0.2427988809831044	640	
197.5439184292252	411.957303693746	147.9688349042949	1.352087409808157	0.2904924787189208	679.9999999999999	
206.3034737648145	407.8312342184498	156.7282174330018	1.521291524083314	0.3445759751112472	719.9999999999999	
214.674175590426	403.5377507066413	164.9303786613777	1.699350708929172	0.4054276360745797	759.9999999999999	
222.7034827144852	399.0836810523516	173.5988184626604	1.886768359677001	0.4734016644317466	799.9999999999999	
230.3869625357266	394.475941801637	181.9098408499603	2.083158607732429	0.5488723988188267	839.9999999999999	
237.7627193823289	389.7206874139905	190.1583426761548	2.288453955765752	0.6321987431281237	879.9999999999999	
244.7506867976562	384.8256736780373	198.573026897612	2.502833814641583	0.7237369013587538	919.9999999999999	
251.4423034002237	379.7968276100328	206.3334632187272	2.725591856946088	0.8238502539444171	959.9999999999999	
257.7963986176021	374.6408996376808	214.1366792892815	2.956774267787039	0.9328739282222607	1000	
263.7883950493699	369.3651317366934	222.5298266228967	3.197017938200935	1.051144898933742	1040	
269.49211300322	363.975289476629	231.8759381394639	3.447351690330675	1.17902561646178	1080	
274.8714625037896	358.4778602265532	238.3757502055448	3.704702653283133	1.316919684075007	1120	
279.9400338320511	352.8790595499121	246.587673082731	3.970919225502946	1.465107790206332	1160.000000000001	
284.66751751699	347.1857091995723	254.2908669508266	4.245452182078361	1.62394455922645	1200.000000000001	
289.1497409709712	341.4027143801529	262.8358391207114	4.529210308640343	1.793762646509584	1240.000000000001	
293.2869084743146	335.5369762106666	270.1261746369052	4.820839096809981	1.974931058855198	1280.000000000001	
297.1204425735801	329.594567359195	279.441186971406	5.122524391952878	2.167764622727598	1320.000000000001	
300.6773718780543	323.5810199216339	287.9098494585971	5.433352472987874	2.372665598405713	1360.000000000001	
303.9805361296454	317.501409199041	295.1603961388846	5.752008259519318	2.589999697325228	1400.000000000001	
306.9630760004806	311.3621476790314	302.1063510884902	6.078162913672003	2.820080027706	1440.000000000001	
309.6353691390508	305.1694402962504	310.7196060650169	6.4136164560734	3.06320654425288	1480.000000000001	
312.0819758256149	298.9278007797381	318.3064561996311	6.757260777890217	3.319751202495816	1520.000000000001	
314.2637724521225	292.6425253306957	327.6314727088503	7.11097240720843	3.590041633611425	1560.000000000002	
316.1551235970428	286.3194228587548	335.5678816090447	7.473252200323037	3.874480529899762	1600.000000000002	
317.838385030193	279.9626551581509	343.9245148780127	7.844553832349342	4.173410617912683	1640.000000000002	
319.181883832231	273.5790174815063	349.9897892212979	8.222403547355855	4.487192771206657	1680.000000000002	
320.3817027439241	267.1713834266278	357.874494753326	8.608765607093384	4.816088913100892	1720.000000000002	
321.2842081234693	260.7456992641584	365.9146011141812	9.003807782624662	5.160439537384627	1760.000000000002	
321.9344047143626	254.3070111698712	371.9021968405955	9.405314179137454	5.520591848689613	1800.000000000002	
322.3567606816416	247.8598759562383	378.3118507485472	9.813740451535193	5.896804415855112	1840.000000000002	
322.5614832947209	241.4086462903439	385.0472206447872	10.22943824348617	6.28935403391652	1880.000000000002	
322.5985493050255	234.9566753042434	391.3970357055131	10.65199130917636	6.698531563655966	1920.000000000003	
322.3292006684962	228.5100912908735	396.4990442025946	11.08005251400647	7.124611216023021	1960.000000000003	
321.92486094614	222.0715940719507	402.1608214574611	11.51422618550866	7.56781331658328	2000.000000000003	
321.3159426114682	215.6452752197213	408.7810963010058	11.95554711970232	8.028382364003626	2040.000000000003	
320.4749201321031	209.2357768170793	413.0529249255202	12.40147992909359	8.506604248791719	2080.000000000003	
319.4169235485501	202.8474383461083	417.308667002262	12.85200724661157	9.002663445955463	2120.000000000003	
