--------------------------------------------------------------------------------
Начало расчёта 10/29/24 16:06:05
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1835
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.1868534477808646
Внешнее сопротивление, Ом = 0.07979427792915532
Сопротивление обмотки, Ом = 0.1070591698517093
Количество витков = 97.8826695787056
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 6.027146522807219
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 25.2
Индуктивность катушки в стартовой позиции, микроГенри = 63.65943058799608
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937657
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937657
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 1680.000000000003
Интервал расчёта,  микросекунд =15
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 42.38059333705657
  Энергия пули  конечная, Дж = 54.2540212762344
  Приращение энергии пули, Дж = 11.87342793917784
  Энергия конденсатора начальная, Дж = 146.8
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 146.8
  КПД, % = 8.088166171102069
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 47.83
Конечная скорость пули, м/с = 54.1168900893909
Максимальая скорость пули, (в катушк), м/с = 55.5959931840066
Средняя сила, Н = 137.4239514194291
Конец расчёта 10/29/24 16:11:29
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
95.75260929822069	399.2172811229028	3.060053413193289e-008	47.83000000001239	0.7174499999999999	15	
183.3509707915789	397.718499345315	4.822482003559656	47.83195238566776	1.434900000000186	30	
264.157532721524	395.5591734647576	21.54559132474789	47.84067513536549	2.152379285785202	44.99999999999999	
340.3931707596255	392.7766679817088	53.12938249744689	47.86218460791303	2.869989412815684	59.99999999999999	
421.0575836000726	389.3347803773486	95.07485470855143	47.9006757380784	3.58792218193438	75	
497.4084172544602	385.2687715169579	134.4735765623693	47.9551174719641	4.306432318005556	89.99999999999999	
569.4692821349958	380.6137092651732	171.7095777542912	48.02463423039872	5.025759080085017	105	
637.1923986100795	375.4050520558265	207.354611967453	48.1085819091419	5.746128593540998	120	
700.7004714476225	369.6772552864998	241.7289247588917	48.2064460556205	6.467757322178127	135	
759.916682685403	363.465402294521	274.2370695885766	48.31747115025842	7.190854013012434	150	
814.814432384779	356.8047938554084	305.1260095375526	48.44100165667836	7.915616080266309	164.9999999999999	
865.5076711621464	349.7297992682519	334.9554317891657	48.5766086283021	8.642231105116485	179.9999999999999	
912.1316490423783	342.2736822461071	361.8272754002034	48.72309468707656	9.370880234541017	194.9999999999999	
954.7145954673149	334.4694757436495	388.5532115883278	48.88040076226611	10.10172665484716	209.9999999999999	
993.3046168174643	326.3498194753869	411.7463374806276	49.04709659282681	10.83493266628116	224.9999999999999	
1028.215291843161	317.9447898417915	434.6905174716829	49.22308139281356	11.57063911517356	239.9999999999999	
1059.22759764063	309.2862536212959	453.4725013219559	49.40667009382505	12.30898533606576	254.9999999999999	
1086.922799114561	300.4013261080979	473.6985628738035	49.59844733186151	13.05008538747314	269.9999999999998	
1111.145325557318	291.3183942915531	488.2663000515182	49.79612232982241	13.79406209745106	284.9999999999998	
