--------------------------------------------------------------------------------
Начало расчёта 10/29/24 14:40:26
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1835
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.2207749749332607
Внешнее сопротивление, Ом = 0.07979427792915532
Сопротивление обмотки, Ом = 0.1409806970041053
Количество витков = 106.0005240632371
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 6.327198885620096
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 24
Индуктивность катушки в стартовой позиции, микроГенри = 73.01809148461875
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937662
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937662
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 1870.000000000004
Интервал расчёта,  микросекунд =10
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 30.38619477377875
  Энергия пули  конечная, Дж = 42.61042529156176
  Приращение энергии пули, Дж = 12.22423051778301
  Энергия конденсатора начальная, Дж = 146.8
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 146.8
  КПД, % = 8.32713250530178
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 40.5
Конечная скорость пули, м/с = 47.95951681527078
Максимальая скорость пули, (в катушк), м/с = 49.16487400690944
Средняя сила, Н = 147.0107572257059
Конец расчёта 10/29/24 14:49:13
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
55.63185017806104	399.696829154343	3.586637285839321e-008	40.50000000000968	0.405	10	
107.9907557203685	399.108323673578	1.737504023957408	40.50046895326238	0.8100000000000966	20	
157.9252096928079	398.2476958278406	7.397600810801061	40.5024655696239	1.21500468953272	30	
205.4047627932435	397.1283238235178	17.78437599342199	40.50726558208686	1.620029345228959	40	
250.5106353979099	395.7631432491423	33.54149758949793	40.51631844998143	2.025102001049828	49.99999999999999	
293.7388940401763	394.162386333392	54.96875511150103	40.53115454598537	2.430265185549642	59.99999999999999	
339.4638239212268	392.3124472384534	80.80193674069317	40.5529630313396	2.835576731009496	70	
384.6656995125078	390.2161763964234	107.34344198407	40.58193508296127	3.241106361322892	80	
428.2482161102133	387.8823986519536	131.4826496635921	40.61742231947053	3.646925712152505	89.99999999999999	
470.264084401593	385.3196515979939	154.414570069682	40.65909889339537	4.05309993534721	99.99999999999999	
510.4350502091049	382.5379891990342	177.0252085768613	40.70687809058178	4.459690924281164	110	
549.2355857253123	379.5448797400407	198.6957853521772	40.76050618787238	4.866759705186981	120	
586.3033071148126	376.3497663497693	219.588047595721	40.81977311776446	5.274364767065705	130	
621.7404120470782	372.9615352214473	240.8605163267058	40.88478149818953	5.682562498243349	140	
655.6403718276401	369.3885631678907	260.737220998901	40.9551546116918	6.091410313225245	150	
687.9415872300187	365.6395626925228	279.8849745533441	41.03069571398002	6.500961859342163	160	
718.7786640658659	361.7225127521093	299.2507954447129	41.11146366154345	6.911268816481963	170	
748.0295992425739	357.6460571704059	317.2071300887595	41.19707803330037	7.322383453097397	180	
775.6147233690509	353.4192739367871	334.8455260165423	41.28745301742352	7.734354233430401	190	
801.8653737642957	349.0494353876629	351.7622670819184	41.38239383888482	8.147228763604636	200	
826.6622258892903	344.5444641294106	366.9847796396391	41.48144322451625	8.561052701993484	210	
