--------------------------------------------------------------------------------
Начало расчёта 10/28/24 21:41:11
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1900
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.6077168334628169
Внешнее сопротивление, Ом = 0.07718421052631579
Сопротивление обмотки, Ом = 0.5305326229365012
Количество витков = 291.5014411739017
  ДИАМЕТР ПРОВОДА, мм = 1
Общая длина провода, м = 23.81024843799139
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 38
Индуктивность катушки в стартовой позиции, микроГенри = 828.5173439852147
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937661
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937661
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4174.999999999988
Интервал расчёта,  микросекунд =25
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 8.169676509822542
  Энергия пули  конечная, Дж = 7.596456306031366
  Приращение энергии пули, Дж = -0.573220203791176
  Энергия конденсатора начальная, Дж = 152
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 152
  КПД, % = -0.3771185551257737
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 21
Конечная скорость пули, м/с = 20.24987686179057
Максимальая скорость пули, (в катушк), м/с = 31.90871983079529
Средняя сила, Н = -6.617280403524384
Конец расчёта 10/28/24 21:50:08
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
12.31407660643323	399.8379726762311	3.212891820144605e-007	21.00000000021679	0.525	25	
23.98478205481146	399.5223834386678	0.7957402030039569	21.00053692696827	1.05000000000542	49.99999999999999	
35.25493852204887	399.0585026686409	3.376856766124892	21.00281546552495	1.575013423179626	75	
46.10308097162448	398.4518831821721	8.109339837951536	21.00828725327603	2.10008380981775	99.99999999999999	
56.51995384292503	397.7081995789758	15.39944312974993	21.01867804783818	2.625290991149651	125	
66.50384160492419	396.8331490315426	25.52738522382426	21.03590268468605	3.150757942345605	150	
76.14234393396552	395.831276085043	38.6853031470663	21.06200564400664	3.676655509462756	175	
86.72995377051606	394.6900924827994	54.22430501365281	21.09859356533111	4.203205650562922	200	
97.48853087641442	393.4073486554781	70.76730220865485	21.14634389583149	4.7306704896962	225.0000000000001	
107.9901025351037	391.9864262537005	86.51058308923868	21.20471702586987	5.259329087091986	250.0000000000001	
118.3170616171977	390.4296228113689	101.4957295187087	21.27320140322548	5.789447012738734	275.0000000000001	
128.3822749651087	388.7403823513017	115.8142041663823	21.35134719023425	6.32127704781937	300.0000000000001	
138.242682085622	386.9213996922804	129.9060902265366	21.43900149594792	6.855060727575227	325.0000000000001	
147.8345464751842	384.9762082912911	143.7148059606189	21.5359732508155	7.391035764973925	350.0000000000001	
157.2028313589936	382.907749983936	157.8371417744251	21.64247407039941	7.929435096244312	375.0000000000001	
166.3264231918929	380.7192444156216	171.3782917767099	21.7581117988068	8.470496948004296	400.0000000000001	
175.2534088583157	378.4132785095911	184.9519784617858	21.8829083902073	9.014449742974465	425.0000000000001	
183.922120000482	375.993250614848	197.9167356929654	22.01645296864878	9.561522452729648	450.0000000000002	
192.3369401197318	373.4625014027462	210.1995228497814	22.1582853739241	10.11193377694587	475.0000000000002	
200.5323233015527	370.82391820141	223.1713015399649	22.30887050397912	10.66589091129397	500.0000000000001	
208.485420743978	368.0806889810945	235.1544584042593	22.46754128493292	11.22361267389345	525.0000000000001	
216.1805138923309	365.2362085351427	247.043367086887	22.63423412270062	11.78530120601677	550	
223.6811069257606	362.2930360755933	259.0396177854515	22.80902144644905	12.35115705908429	575	
230.9151977552066	359.2546782103931	269.2192293740035	22.99067747654276	12.92138259524551	600	
237.8497239865097	356.1250765789917	280.0315333382989	23.17962912299674	13.49614953215908	624.9999999999999	
244.6542073897018	352.9059422712325	291.5385415955668	23.37634513844892	14.075640260234	649.9999999999999	
251.1686131567713	349.601092098117	300.6345880510461	23.57919872324372	14.66004888869522	674.9999999999998	
257.4758857801915	346.2132514957461	310.7034267633796	23.78884627023947	15.24952885677631	699.9999999999998	
263.5123108720601	342.7459842474295	319.5173920644477	24.00444105194687	15.8442500135323	724.9999999999998	
269.3482972396412	339.2019277048026	328.1509449316275	24.2258613348382	16.44436103983097	749.9999999999997	
274.9524701257305	335.5841320452536	336.2467575308082	24.45274427795841	17.05000757320193	774.9999999999997	
280.32483977941	331.895647311314	343.8716520285625	24.68477212869746	17.66132618015089	799.9999999999997	
285.4894202404343	328.1392075713083	350.7183295777248	24.92141978414291	18.27844548336832	824.9999999999996	
290.4430815455027	324.3175880772885	357.0091979336314	25.16231221130853	18.9014809779719	849.9999999999996	
295.1711956722112	320.4337565552857	363.1135968308477	25.40732358968115	19.53053878325461	874.9999999999994	
299.7044142125098	316.4902774209106	368.640213862697	25.65606406018508	20.16572187299664	899.9999999999994	
303.911514727171	312.4914417008162	372.6324087759958	25.90749826947206	20.80712347450126	924.9999999999994	
308.0118960637539	308.4386535947142	379.3146170938856	26.16344130763471	21.45481093123807	949.9999999999993	
311.8491822800767	304.3353748805027	381.4463480276245	26.42082273405645	22.10889696392894	974.9999999999993	
