--------------------------------------------------------------------------------
Начало расчёта 10/28/24 22:42:44
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1900
Начальное напряжение, Вольт = 400
Общее сопротивление, Ом = 0.2179171465972211
Внешнее сопротивление, Ом = 0.07718421052631579
Сопротивление обмотки, Ом = 0.1407329360709053
Количество витков = 121.7149717369992
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 7.922890000539875
Длина катушки, мм = 42
Внешний диаметр катушки, мм = 27.44
Индуктивность катушки в стартовой позиции, микроГенри = 106.2937846613124
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 37.05068711937659
Длина пули, мм = 42
Диаметр пули, мм = 12
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 37.05068711937659
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 2874.999999999996
Интервал расчёта,  микросекунд =25
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 8.169676509822539
  Энергия пули  конечная, Дж = 19.78374192965878
  Приращение энергии пули, Дж = 11.61406541983624
  Энергия конденсатора начальная, Дж = 152
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 152
  КПД, % = 7.640832513050159
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 21
Конечная скорость пули, м/с = 32.67917497103117
Максимальая скорость пули, (в катушк), м/с = 33.50267051153467
Средняя сила, Н = 149.2142957462512
Конец расчёта 10/28/24 22:48:20
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
95.66910644517749	398.7411959678266	4.942202070601235e-008	21.00000000003335	0.525	25	
183.0437241668293	396.3327259129999	7.396290119132218	21.00499065654621	1.050000000000834	49.99999999999999	
263.8660630086649	392.860804031307	31.08255212515338	21.02596364958748	1.575124766414489	75	
343.3121834314575	388.3435384598404	71.86547855490409	21.07445497602588	2.100773857654176	99.99999999999999	
419.9986654093465	382.8172402307701	115.0892665494185	21.15211161042148	2.627635232054823	125	
491.8203028157435	376.3459204568787	155.4265564084321	21.25698588435036	3.15643802231536	150	
558.3213426951746	368.9995870003633	194.0849001441152	21.38794492670144	3.687862669424119	175	
619.6173253664321	360.8467274560681	231.6085396635602	21.54422309430824	4.222561292591655	200	
675.4640937543983	351.9590420119313	267.2270653224388	21.72453490908069	4.761166869949361	225.0000000000001	
726.2188803005541	342.4035304290293	301.8492958257422	21.92820811954855	5.304280242676378	250.0000000000001	
771.8641169898634	332.2474236265311	334.1116499110988	22.15365039598636	5.852485445665092	275.0000000000001	
812.7583419675234	321.5532349164321	364.2011965020747	22.39939563367158	6.406326705564752	300.0000000000001	
848.6192790835901	310.3871917705953	392.217629524231	22.66404499648941	6.96631159640654	325.0000000000001	
879.5774422821165	298.8138043721464	416.278939346143	22.94492975984407	7.532912721318776	350.0000000000001	
906.1858350592222	286.8903065424198	440.0998917989969	23.24188774228378	8.106535965314878	375.0000000000001	
928.2778177756873	274.6761247295818	461.5706286496036	23.55333313273122	8.687583158871973	400.0000000000001	
946.3263599113802	262.2244620991689	479.6940081261407	23.87700729738339	9.276416487190254	425.0000000000001	
960.2785861634121	249.5892175443872	494.2427785730939	24.21049826408305	9.873341669624839	450.0000000000002	
970.2042706637388	236.8233718777591	508.1816446945842	24.55339449908217	10.47860412622692	475.0000000000002	
976.3791023313286	223.9762784260311	519.2268743937232	24.90374351738835	11.09243898870397	500.0000000000001	
979.0768863599053	211.0936878160323	527.6931837365272	25.25980518908982	11.71503257663868	525.0000000000001	
978.3767802906185	198.2203091279979	534.2829241317205	25.62031329681416	12.34652770636592	550	
974.7957744317165	185.3940489381069	538.7844125228365	25.98385878976742	12.98703553878628	575	
968.0164086886482	172.6569909290457	538.6119873363008	26.34728793859866	13.63663200853046	600	
958.6305880294543	160.0434305602371	538.1993641413525	26.7104386693849	14.29531420699543	624.9999999999999	
946.4991722411135	147.5894940833804	533.6471398230355	27.07051778080841	14.96307517373005	649.9999999999999	
931.9630515587841	135.3268223523438	529.7796121308114	27.42798727282072	15.63983811825026	674.9999999999998	
915.0417751722582	123.2867989948141	522.1083102606741	27.78028054377845	16.32553780007078	699.9999999999998	
895.9917095684134	111.4974343952297	515.1444483206662	28.12787493970752	17.02004481366524	724.9999999999998	
875.4022626130153	99.9789835713742	505.4881605134793	28.468953742703	17.72324168715793	749.9999999999997	
852.7558520658324	88.75851183366588	492.3556840062965	28.80117138985482	18.4349655307255	774.9999999999997	
828.6154915859862	77.8556764180608	480.8438910925911	29.12562143955519	19.15499481547187	799.9999999999997	
803.4010217515051	67.2846103423831	466.31058587407	29.44026512239137	19.88313535146075	824.9999999999996	
776.4482495432425	57.06818600628781	451.3015940865926	29.74478146822358	20.61914197952054	849.9999999999996	
748.6569458525109	47.21743671875477	434.8838112309376	30.03821989342049	21.36276151622613	874.9999999999994	
719.7711309263776	37.7467639434077	417.7094126361238	30.32006987051421	22.11371701356164	899.9999999999994	
690.3156593194718	28.66366316288833	400.5511719628854	30.59034230208365	22.87171876032449	924.9999999999994	
660.0818478100157	19.97837569170392	381.0148478617231	30.84743257319934	23.63647731787659	949.9999999999993	
629.3922210658567	11.69689909873212	363.1557519688637	31.09247239580693	24.40766313220657	974.9999999999993	
598.3220015611064	3.824241183454407	342.3397754869532	31.32346661082914	25.18497494210174	999.9999999999993	
