--------------------------------------------------------------------------------
Начало расчёта 12/13/24 15:29:34
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1860
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.4342358876633832
Внешнее сопротивление, Ом = 0.09006881720430107
Сопротивление обмотки, Ом = 0.3441670704590821
Количество витков = 187.4562445583768
  ДИАМЕТР ПРОВОДА, мм = 0.85
Общая длина провода, м = 11.15986649635076
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 23.9
Индуктивность катушки в стартовой позиции, микроГенри = 208.9852743590796
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 33.21727649355816
Длина пули, мм = 41
Диаметр пули, мм = 11.5
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 33.21727649355816
Стартовая позиция пули внутри катушки, мм = -29
Общее время, микросекунд = 1728
Интервал расчёта,  микросекунд =18
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 61.17420030790728
  Энергия пули  конечная, Дж = 77.34242055864357
  Приращение энергии пули, Дж = 16.16822025073629
  Энергия конденсатора начальная, Дж = 171.957
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 171.957
  КПД, % = 9.402478672421763
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 60.69
Конечная скорость пули, м/с = 68.24044764250021
Максимальая скорость пули, (в катушк), м/с = 68.74744883282789
Средняя сила, Н = 143.6456511976308
Конец расчёта 12/13/24 15:33:15
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
37.05182245129615	429.6414339762778	3.384761620301135e-010	60.69000000000018	1.09242	18	
72.67179131753929	428.9381585764306	0.007569173333062448	60.69000410163446	2.184840000000003	36	
106.8913505534954	427.9037261517194	0.03593600692004417	60.6900235748783	3.277260073829423	54	
139.7588370587608	426.5512212769572	0.09070947899280571	60.69007272913759	4.369680498177233	72	
171.2439369482468	424.8940218871354	0.1975552556860792	60.69017978170113	5.46210180730171	90	
201.4119358799194	422.9448741205555	0.3330038614458204	60.69036023206126	6.55452504337233	108	
230.26781469792	420.7164759138015	0.5227158562137177	60.69064348482624	7.646951527549432	126	
257.9073046373352	418.2205987721498	0.846758406889829	60.69110233193633	8.739383110276306	144	
284.2023285292054	415.470253657351	1.229812534934093	60.69176875097984	9.831822952251159	162	
309.1850575203013	412.4781401974771	1.859205439240832	60.69277622966079	10.9242747897688	180	
333.0216107522708	409.2553504160035	2.651326718770171	60.69421294831974	12.01674476190269	198	
355.6259745800617	405.813808726519	3.97709229637724	60.69636808169886	13.10924059497245	216	
377.053264812872	402.1649061638138	5.00780201954601	60.69908174295791	14.20177522044303	234	
397.4036602222319	398.3190642906955	7.058058340062515	60.70290641082752	15.29435869181627	252	
416.5329336588506	394.2881004165776	9.24598413466693	60.70791668656329	16.38701100721116	270	
434.4881305340975	390.0833765726992	13.24797202821548	60.71509558627093	17.4797535075693	288	
451.3198451745244	385.7157651677845	16.84358811551407	60.72422290247754	18.57262522812218	306	
467.1209266910308	381.1952400707745	23.21650882178824	60.73680361958941	19.66566124036677	324	
481.6979674051026	376.5336468378219	31.67481644149996	60.7539677810178	20.75892370551938	342	
495.8477697125074	371.7351200341525	43.20568873966053	60.77738036866521	21.8524951255777	360	
509.6606742527468	366.8029199607388	56.57599421342997	60.80803814688611	22.94648797221367	378	
