--------------------------------------------------------------------------------
Начало расчёта 12/24/24 12:19:39
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 4000
Начальное напряжение, Вольт = 430
Общее сопротивление, Ом = 0.7768221091964367
Внешнее сопротивление, Ом = 0.0498
Сопротивление обмотки, Ом = 0.7270221091964367
Количество витков = 296.2454816732712
  ДИАМЕТР ПРОВОДА, мм = 0.76
Общая длина провода, м = 18.84632323436068
Длина катушки, мм = 41
Внешний диаметр катушки, мм = 26.5
Индуктивность катушки в стартовой позиции, микроГенри = 604.9844832515219
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 14
Масса пули без оперения, г = 34.38270683707503
Длина пули, мм = 41
Диаметр пули, мм = 11.7
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 34.38270683707503
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4500
Интервал расчёта,  микросекунд =30
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 0.0001719135341853752
  Энергия пули  конечная, Дж = 15.46157120383297
  Приращение энергии пули, Дж = 15.46139929029878
  Энергия конденсатора начальная, Дж = 369.8
  Энергия конденсатора  конечная, Дж = 67.88186989395049
  Расход энергии конденсатора, Дж = 301.9181301060495
  КПД, % = 5.121056918598406
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 29.98967629751041
Максимальая скорость пули, (в катушк), м/с = 30.71006989403033
Средняя сила, Н = 226.8626882102364
Конец расчёта 12/24/24 12:26:00
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
21.72453836949084	429.8370659622288	3.150453379769361e-007	0.100000000274887	0.003	30	
42.19360013583001	429.5206139612101	2.111790589607025	0.1018426044069124	0.006000000008246611	59.99999999999999	
61.85752106786775	429.0566825532011	8.013653363235745	0.1088347706152412	0.009055278140453984	89.99999999999999	
80.74049967317029	428.4511288056523	17.26382221573171	0.1238980019345823	0.01232032125891122	120	
98.8699229549116	427.7096043834905	29.43491941307719	0.1495809007993139	0.01603726131694869	150	
116.2754470109721	426.8375385309082	44.08999296346423	0.1880508152005168	0.0205246883409281	180	
133.0695118488654	425.8395171920417	60.63159836506948	0.2409538038910612	0.02616621279694361	210	
149.4276041620134	424.7188101608267	76.90306767915637	0.3080541645842147	0.03339482691367544	240	
165.2730434691034	423.4792623348084	91.90702338810601	0.388245951540036	0.04263645185120188	269.9999999999999	
180.5442873738882	422.1251801795042	105.6624847428905	0.4804398139170558	0.05428383039740296	299.9999999999999	
195.1772749439167	420.6613506174248	118.526100309646	0.5838575880364327	0.06869702481491463	329.9999999999999	
209.1968256960926	419.0923744247041	130.9238960124873	0.6980928313227276	0.08621275245600761	359.9999999999999	
222.6425288376267	417.4225554584219	142.4885002706055	0.822418557868166	0.1071555373956895	389.9999999999998	
235.4368047198142	415.6567794230233	153.256017624217	0.9561392841190967	0.1318280941317344	419.9999999999998	
247.6259901042955	413.7995844972411	163.717595584647	1.098988068271346	0.1605122726553073	449.9999999999998	
259.1466828364935	411.8559843759674	173.9752167053454	1.250786951526588	0.1934819147034477	479.9999999999997	
270.2067554640877	409.8294337099867	184.2141015062415	1.411519585852751	0.2310055232492454	509.9999999999997	
280.6536656243376	407.7245312178042	193.1540006666795	1.580052565162921	0.2733511108248279	539.9999999999997	
290.6102292438184	405.5449544984756	203.3781879169276	1.757506471465863	0.3207526877797155	569.9999999999997	
300.0672907121794	403.2944498181342	212.3199196420496	1.942762321723502	0.3734778819236914	599.9999999999997	
309.0501438636462	400.9765737391569	221.7701787556286	2.136263822178224	0.4317607515753965	629.9999999999996	
317.4745693583634	398.5955144689692	229.2824085702306	2.336319980923987	0.4958486662407431	659.9999999999996	
325.4803555329095	396.1544118024723	238.6242869258672	2.544527224225051	0.5659382656684628	689.9999999999996	
333.0055579549829	393.6568701178099	247.3393497030895	2.760338635649223	0.6422740823952143	719.9999999999996	
340.0900403167647	391.1061948154342	255.6188897874046	2.983374207861736	0.725084241464691	749.9999999999994	
346.7722543514336	388.5054029077984	264.2958805990437	3.21398072920233	0.8145854677005431	779.9999999999994	
353.1233234076703	385.8569779822409	272.4447390031149	3.451697387428904	0.911004889576613	809.9999999999994	
359.0045726839698	383.1644436871112	280.6154277265043	3.696543230186038	1.01455581119948	839.9999999999994	
364.4516309901391	380.4310564546851	289.1022907686009	3.948794129574385	1.125452108105061	869.9999999999993	
369.5891384299999	377.6591379164601	296.6175823575098	4.207602358748766	1.243915931992293	899.9999999999993	
374.3344478195368	374.8516295578136	304.413986526515	4.473213197333119	1.370144002754756	929.9999999999993	
378.7723756783423	372.010836740226	313.9994547909234	4.747187660378306	1.504340398674749	959.9999999999993	
382.8690617584121	369.1393187770379	321.6850622832967	5.027868059226155	1.646756028486099	989.9999999999993	
386.5800898956845	366.2399681028203	328.3570201476591	5.314369952492095	1.797592070262883	1019.999999999999	
390.0823661172631	363.3143503569408	339.0918257233175	5.610238303401867	1.957023168837646	1050	
393.2050808608037	360.3653122504848	346.6217242482518	5.912676729111697	2.125330317939702	1080	
396.095495901264	357.3945960312253	355.5729498731045	6.22292538250424	2.302710619813053	1110	
398.7385129741953	354.4040571839188	363.73740027678	6.540297777295939	2.489398381288181	1140	
401.103017369198	351.3957845536498	372.2209323103842	6.865072322308506	2.685607314607059	1170	
