--------------------------------------------------------------------------------
Начало расчёта 10/27/24 22:51:54
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1500
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.970041617219227
Внешнее сопротивление, Ом = 0.4383333333333333
Сопротивление обмотки, Ом = 0.5317082838858936
Количество витков = 248.0271878184927
  ДИАМЕТР ПРОВОДА, мм = 0.8
Общая длина провода, м = 15.27232766592929
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 29.2
Индуктивность катушки в стартовой позиции, микроГенри = 465.440724937981
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504018
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504018
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4000.000000000008
Интервал расчёта,  микросекунд =40
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 5.88106144752009e-005
  Энергия пули  конечная, Дж = 2.746841974289713
  Приращение энергии пули, Дж = 2.746783163675238
  Энергия конденсатора начальная, Дж = 151.875
  Энергия конденсатора  конечная, Дж = 0.0231476425048957
  Расход энергии конденсатора, Дж = 151.8518523574951
  КПД, % = 1.808857199323892
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 21.61170242556826
Максимальая скорость пули, (в катушк), м/с = 24.44591010967445
Средняя сила, Н = 62.62952663640289
Конец расчёта 10/27/24 22:55:12
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
39.24225359082202	448.9535399042447	2.140815924589693e-007	0.1000000007280373	0.004	40	
74.37104180867981	446.97031212268	5.047632177563365	0.1171657189325013	0.008000000029121488	80	
106.4986021719804	444.1303493980938	18.0936981941653	0.1786978024028925	0.01268662878642154	120	
136.7348364542529	440.4840870926471	32.57048267652363	0.2894617621648088	0.01983454088253724	160	
164.3234106202997	436.1021294761057	44.77368382503749	0.4417257173184063	0.03141301136912959	200	
189.2034779271749	431.0567033980478	55.58007358479807	0.6307394662165237	0.04908204006186584	240	
211.4840349767179	425.417129132002	65.29214549599679	0.8527815111046246	0.07431161871052679	280	
231.3275329630569	419.2483949196538	74.27795320660943	1.105382011437539	0.1084228791547118	320	
248.8856917619338	412.6114431393356	82.32068524102306	1.385333805771318	0.1526381596122133	359.9999999999999	
264.2860340006465	405.563815565985	89.75101534608018	1.690554270297926	0.208051511843066	399.9999999999999	
277.7981382647807	398.1558652122575	96.07920179819774	2.017295293684825	0.275673682654983	439.9999999999999	
289.3902982576161	390.4387905920544	102.0074985938651	2.364196952523569	0.356365494402376	479.9999999999999	
299.2914988066716	382.4576839572098	108.072097329584	2.731722775179802	0.4509333725033188	520	
307.6361403838282	374.2540535469744	112.9151648170926	3.115718643356647	0.5602022835105108	560	
314.4419940264306	365.8689337062696	117.6984158673942	3.515981136505822	0.6848310292447768	600	
319.9278181456856	357.3375252223847	122.5294160807028	3.932672637433331	0.8254702747050097	640	
324.2174390546687	348.6917268475935	126.7974965003724	4.363878798538279	0.9827771802023428	679.9999999999999	
327.257962838234	339.9648478385739	131.9608751088055	4.812644302134404	1.157332332143874	719.9999999999999	
329.3564030681156	331.1820104234242	135.0528255099032	5.271924745690566	1.34983810422925	759.9999999999999	
330.3809675145972	322.3718512897016	138.8320940846571	5.744057524181426	1.560715094056873	799.9999999999999	
