--------------------------------------------------------------------------------
Начало расчёта 10/27/24 22:15:18
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1500
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.683240840245725
Внешнее сопротивление, Ом = 0.4383333333333333
Сопротивление обмотки, Ом = 0.2449075069123917
Количество витков = 187.2330428272209
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 13.78764127109323
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 36.88
Индуктивность катушки в стартовой позиции, микроГенри = 337.8889494210301
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504018
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504018
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 4240.000000000008
Интервал расчёта,  микросекунд =40
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 5.881061447520091e-005
  Энергия пули  конечная, Дж = 2.264405486331215
  Приращение энергии пули, Дж = 2.26434667571674
  Энергия конденсатора начальная, Дж = 151.875
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 151.875
  КПД, % = 1.490927852323779
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 0.1
Конечная скорость пули, м/с = 19.62226970266717
Максимальая скорость пули, (в катушк), м/с = 19.9867258665519
Средняя сила, Н = 53.6503120170306
Конец расчёта 10/27/24 22:18:52
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
54.2889125957659	448.5522956641129	1.286611990846215e-007	0.1000000004375442	0.004	40	
102.9163848137971	445.807858735745	5.975438361356173	0.1203209524108512	0.008000000017501766	80	
148.242772135339	441.8547181454693	20.68898582672368	0.1906789515963477	0.01281283811393581	120	
190.3265935822319	436.7793423166098	34.46052277838597	0.3078704588978645	0.02043999617778972	160	
228.404721154087	430.6885497525008	46.47286291622868	0.4659128916489292	0.0327548145337043	200	
262.5671758006781	423.686758397816	57.28154949175525	0.6607129290330296	0.05139133019966147	240	
293.0128777490026	415.8730816578426	66.92971620866406	0.8883239370318894	0.07781984736098264	280	
319.8814089237725	407.3429107532087	75.41581495580098	1.144794016893415	0.1133528048422582	320	
343.4112870047627	398.1852764330817	83.17647920388592	1.427656149677148	0.1591445655179948	359.9999999999999	
363.8284796108159	388.4831836434599	90.26412997383767	1.734621587053763	0.2162508115050807	399.9999999999999	
381.2846516257732	378.3155929334394	96.5490549679167	2.06296046203229	0.2856356749872313	439.9999999999999	
395.9652256264969	367.7565202500661	102.3151392489185	2.410908328797268	0.3681540934685229	479.9999999999999	
408.093914453936	356.8740158646278	107.739209889397	2.77730208560737	0.4645904266204136	520	
417.924379354695	345.7293657485026	112.2588666250628	3.159066049908065	0.5756825100447084	560	
425.3984306597432	334.3854075975762	116.4247297277676	3.55499705918824	0.702045152041031	600	
430.8530239834146	322.8959936246851	120.53149959821	3.964894152336401	0.8442450344085606	640	
434.377278947284	311.3125995194242	123.8766465711463	4.386167242837376	1.002840800502017	679.9999999999999	
436.2619604984847	299.6789472394647	127.2465393343552	4.818900484854468	1.178287490215512	719.9999999999999	
436.4437406931847	288.0404474876464	130.3242586117981	5.26210027038554	1.37104350960969	759.9999999999999	
435.1890195496757	276.4354069663218	132.4387117785117	5.712490775434107	1.581527520425112	799.9999999999999	
