--------------------------------------------------------------------------------
Начало расчёта 10/26/24 22:49:17
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1000
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.6381347192404481
Внешнее сопротивление, Ом = 0.485
Сопротивление обмотки, Ом = 0.1531347192404481
Количество витков = 136.6620601986469
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 8.621077408591459
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 30.16
Индуктивность катушки в стартовой позиции, микроГенри = 145.5394371038836
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504018
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504018
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 2080.000000000004
Интервал расчёта,  микросекунд =20
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 2.846433740599724
  Энергия пули  конечная, Дж = 5.619326727356055
  Приращение энергии пули, Дж = 2.772892986756331
  Энергия конденсатора начальная, Дж = 101.25
  Энергия конденсатора  конечная, Дж = 0
  Расход энергии конденсатора, Дж = 101.25
  КПД, % = 2.738659740006253
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 22
Конечная скорость пули, м/с = 30.91108743471338
Максимальая скорость пули, (в катушк), м/с = 31.96696594636209
Средняя сила, Н = 49.91109787406995
Конец расчёта 10/26/24 22:52:12
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
63.06259340011401	448.7387481319977	6.476896202336039e-008	22.00000000011013	0.44	20	
118.3775668024601	446.3711967959486	4.455819311995767	22.00757655640317	0.8800000000022026	40	
168.8023048585275	442.995150698778	17.59637865152132	22.03749696925473	1.320151531130266	59.99999999999999	
216.7164930017347	438.6608208387433	33.78277376790687	22.09494029656796	1.760901470515361	80	
259.9419048221602	433.4619827423001	48.74012194355104	22.17781669971131	2.20280027644672	99.99999999999999	
298.6255371807763	427.4894719986846	62.84789842974629	22.28468158964754	2.646356610440946	120	
332.8615111088465	420.8322417765077	76.09820311658228	22.41407694420326	3.092050242233897	140	
363.0787778424085	413.5706662196595	88.97439558061829	22.56536663293477	3.540331781117962	160	
389.4239053387264	405.782188112885	100.5632817813917	22.73636175461267	3.991639113776657	180	
412.2609373397763	397.5369693660895	112.0282955817912	22.92685167991183	4.446366348868911	200	
431.7412454634731	388.90214445682	121.4617857568209	23.13338206025336	4.904903382467147	220	
448.2393178864776	379.9373580990904	130.6165890819915	23.3554790239521	5.367571023672214	240	
461.8158803071372	370.7010404929477	138.5744222270434	23.59110727484459	5.834680604151256	260	
472.8987472816565	361.2430655473146	146.2793459608768	23.83983677251471	6.306502749648148	280	
481.5073444683158	351.6129186579483	152.1206374153973	24.09849864634965	6.783299485098442	300	
487.9302142266659	341.854314373415	157.773993912856	24.36677333676185	7.265269458025434	320	
492.4021478918253	332.0062714155785	161.8962346135889	24.64205737529516	7.752604924760671	339.9999999999999	
494.9093929577803	322.1080835564229	164.9494877805246	24.92253308406382	8.245446072266574	359.9999999999999	
495.8327811753179	312.1914279329165	168.6016814607203	25.20921888553902	8.743896733947851	379.9999999999999	
495.1914784061104	302.2875983647943	170.5573564472075	25.49923006459094	9.248081111658632	399.9999999999999	
493.1984564003452	292.4236292367874	171.3211342975644	25.79053995112479	9.758065712950451	419.9999999999999	
489.9598394640806	282.6244324475058	172.4533767427186	26.08377507250825	10.27387651197295	439.9999999999999	
485.6174872964489	272.9120827015768	172.1892685490392	26.37656111136464	10.79555201342311	459.9999999999999	
480.2743701168154	263.3065952992405	171.119407118639	26.66752798638479	11.32308323565041	479.9999999999999	
473.9628891132819	253.8273375169748	169.9063817773843	26.95643226547378	11.8564337953781	500	
466.8641143088373	244.4900552307981	167.8295262788064	27.24180511487595	12.39556244068758	520.0000000000001	
459.1390537561721	235.3072741556746	166.3544346176042	27.5246697577675	12.9403985429851	540.0000000000001	
450.6984148246132	226.2933058591824	162.9580487081094	27.80175927666179	13.49089193814045	560.0000000000001	
441.8725141563879	217.4558555760546	160.1155410609877	28.0740154713807	14.04692712367368	580.0000000000002	
432.4965975608585	208.8059236248374	156.4573196958685	28.34005132407842	14.6084074331013	600.0000000000002	
422.7526470326638	200.3508706841841	152.4977666832236	28.59935445845993	15.17520845958286	620.0000000000003	
412.707118991341	192.0967283043573	148.6419403272737	28.85210124856523	15.74719554875206	640.0000000000003	
402.3728760827154	184.049270782703	143.9465870061785	29.09686418513832	16.32423757372337	660.0000000000005	
391.8461899824964	176.2123469830531	139.4320464758606	29.3339507174252	16.90617485742614	680.0000000000005	
381.1541820092507	168.5892633428681	134.1280919273486	29.56201854688803	17.49285387177464	700.0000000000006	
370.3294316561494	161.1826747097451	128.958381122188	29.78129593800689	18.0840942427124	720.0000000000006	
359.425376208264	153.9941671855798	123.5918054378024	29.99144814699277	18.67972016147254	740.0000000000007	
348.530009082616	147.0235670039275	117.9912869809197	30.19207738379605	19.27954912441239	760.0000000000007	
337.6273080939594	140.2710208420483	112.2889196445354	30.38301046729901	19.88339067208832	780.0000000000008	
326.7076617591872	133.7368676068646	106.3963454518017	30.56392397483712	20.4910508814343	800.0000000000008	
315.9142477163433	127.4185826525377	100.2368271235158	30.7343640017234	21.10232936093104	820.0000000000008	
305.1851537107146	121.3148795783234	94.11891757215696	30.89440129841215	21.7170166409655	840.0000000000009	
294.5566732645912	115.4237461130316	87.98440626002422	31.04400763571224	22.33490466693375	860.0000000000009	
284.0660503687473	109.7424251056566	81.88971653228727	31.18325072518348	22.95578481964799	880.000000000001	
273.7207460907322	104.268010183842	75.17496518200284	31.31107623058387	23.57944983415166	900.000000000001	
263.5714238448177	98.99658170694562	68.91147237495818	31.42825145990241	24.20567135876334	920.0000000000011	
253.5734753069504	93.92511220080661	62.36088092237442	31.53428823826097	24.83423638796138	940.0000000000011	
243.7858756748211	89.04939468731018	55.71196867882149	31.62901938360942	25.4649221527266	960.0000000000013	
234.2234959964848	84.36492476738049	49.17973224315524	31.71264328837902	26.09750254039879	980.0000000000013	
224.8662828918265	79.86759910954396	42.19137459075181	31.78438437622047	26.73175540616637	1000.000000000001	
215.7357631647864	75.55288384624824	35.01566040533368	31.84392407108303	27.36744309369078	1020.000000000001	
206.8260060225614	71.41636372579701	28.2795356405867	31.89200983909097	28.00432157511244	1040.000000000001	
198.1222897945926	67.45391792990516	21.40448109986415	31.92840544775935	28.64216177189426	1060.000000000002	
189.6437260532769	63.66104340883963	14.35870448842898	31.95282060583338	29.28072988084945	1080.000000000002	
181.3898328253142	60.03324675233334	7.572436638558813	31.96569657508848	29.91978629296611	1100.000000000002	
173.3552926092484	56.56614090014837	0.7465250459834266	31.96696594636209	30.55910022446788	1120.000000000002	
165.5948892142559	53.25424311586325	-5.068272296603001	31.95834799135205	31.19843954339513	1140.000000000002	
158.0326399343566	50.09359031717612	-10.50108752447531	31.94049222225631	31.83760650322216	1160.000000000002	
150.7317315885606	47.07895568540491	-14.89491346015499	31.91516530875087	32.47641634766729	1180.000000000002	
143.7075891711272	44.20480390198236	-18.18002064489709	31.88425248662322	33.11471965384231	1200.000000000002	
136.9149304094098	41.46650529379416	-21.20969390767274	31.84818808890022	33.75240470357478	1220.000000000002	
130.4219813313733	38.8580656671667	-22.90438628351582	31.80924208146958	34.38936846535278	1240.000000000002	
124.1350536713185	36.37536459374033	-24.52932491627461	31.76753307173527	35.02555330698217	1260.000000000002	
118.090652711225	34.01355153951583	-25.56465517052134	31.72406361405548	35.66090396841688	1280.000000000002	
112.3054855614591	31.76744182828665	-25.9486472487061	31.67994122648946	36.29538524069798	1300.000000000002	
106.7368039748249	29.63270574879015	-26.30242142325766	31.63521729075444	36.92898406522777	1320.000000000002	
101.3693151591335	27.60531944560748	-26.19462622112306	31.59067664710555	37.56168841104287	1340.000000000002	
96.26851797780448	25.67994908605139	-26.04426281179784	31.54639167738672	38.19350194398497	1360.000000000002	
91.31128448461305	23.85372339635913	-25.79307588297932	31.5025338192209	38.82442977753271	1380.000000000002	
86.59312543822104	22.12186088759471	-24.98691285366915	31.46004673916463	39.45448045391713	1400.000000000002	
82.06496220964529	20.4805616434018	-24.45570861577792	31.41846290462386	40.08368138870042	1420.000000000003	
77.75465158855637	18.92546861163068	-23.6984384724781	31.37816671203353	40.7120506467929	1440.000000000003	
73.59869498660208	17.45349471189864	-22.60401833014268	31.33973144225809	41.33961398103357	1460.000000000003	
69.65885495551686	16.0603176127883	-21.89056799501029	31.30250930440023	41.96640860987873	1480.000000000003	
