--------------------------------------------------------------------------------
Начало расчёта 10/27/24 07:40:49
Варсия скрипта 116
Ёмкость конденсатора, микроФарад = 1500
Начальное напряжение, Вольт = 450
Общее сопротивление, Ом = 0.5408218155067718
Внешнее сопротивление, Ом = 0.4383333333333333
Сопротивление обмотки, Ом = 0.1024884821734385
Количество витков = 102.9480717795974
  ДИАМЕТР ПРОВОДА, мм = 1.12
Общая длина провода, м = 5.769828962946767
Длина катушки, мм = 30
Внешний диаметр катушки, мм = 25.68
Индуктивность катушки в стартовой позиции, микроГенри = 69.99420047082914
Толщина щёчек внешнего магнитопровода, мм = 0
Толщина корпуса внешнего магнитопровода, мм = 0
Внутренний диаметр катушки, мм = 10
Масса пули без оперения, г = 11.76212289504017
Длина пули, мм = 30
Диаметр пули, мм = 8
Глубина отверстия в пуле, мм = 0
Диаметр отверстия, мм = 0
Масса оперения, г = 0
Масса пули вместе с оперением, г = 11.76212289504017
Стартовая позиция пули внутри катушки, мм = 0
Общее время, микросекунд = 2160.000000000005
Интервал расчёта,  микросекунд =20
----- ЭНЕРГИЯ ---------------------------------------------
  Энергия пули начальная, Дж = 2.846433740599722
  Энергия пули  конечная, Дж = 5.354506008468862
  Приращение энергии пули, Дж = 2.50807226786914
  Энергия конденсатора начальная, Дж = 151.875
  Энергия конденсатора  конечная, Дж = 0.3445129682880979
  Расход энергии конденсатора, Дж = 151.5304870317119
  КПД, % = 1.655160170734657
------ СКОРОСТЬ -------------------------------------------
Начальная скорость пули, м/с = 22
Конечная скорость пули, м/с = 30.17392778215043
Максимальая скорость пули, (в катушк), м/с = 32.15374711290051
Средняя сила, Н = 44.10217573799843
Конец расчёта 10/27/24 07:43:51
------------------------------- Data of simulation -------------------------------
Сила тока (А)		Напряжение (В)            Сила (Н)	          Скорость (м/с)	 	Позиция x (мм) 	Время (мкс) 
130.9751964603033	448.253664047196	3.47513599082342e-008	22.00000000005909	0.44	20	
237.0337334496368	445.0932142678675	10.28454349604237	22.01748756346549	0.8800000000011817	40	
330.7618629758927	440.6830560948556	34.06683480829165	22.07541390059406	1.320349751270491	59.99999999999999	
409.1365367965881	435.2279022709011	55.54688497721143	22.16986434202013	1.761858029282373	80	
473.3928000790451	428.9159982698471	74.31810028951561	22.29623285721538	2.205255316122775	99.99999999999999	
525.386055492801	421.9108508632764	91.38750282595436	22.45162572913392	2.651179973267082	120	
566.8906528883863	414.3523088247646	106.6036776489691	22.63289177880923	3.100212487849761	140	
599.384965951102	406.3605092787499	120.2005515151714	22.8372775900914	3.552870323425946	160	
624.0548411943104	398.0397780628258	131.4367089543257	23.06076906374324	4.009615875227773	180	
642.4087722276252	389.4743277664575	141.8012119645987	23.30188406182644	4.470831256502638	200	
655.0638086000125	380.7401436517906	150.0539986296042	23.55703187820043	4.936868937739167	220	
662.9831388732418	371.9003684668141	156.8781249017662	23.82378325684471	5.408009575303176	240	
667.0611208399675	363.0062201889479	162.3414968726684	24.09982440744538	5.88448524044007	260	
667.6635143240214	354.1040399979609	166.5368355556444	24.38299920002618	6.366481728588978	280	
665.6279098205963	345.229001200353	170.5771927383491	24.67304410817839	6.854141712589501	300	
661.178413267979	336.4132890234466	171.8911024283732	24.96532315331718	7.347602594753069	320	
654.8035373791956	327.682575191724	173.3102669227432	25.26001530790405	7.846909057819412	339.9999999999999	
646.8402648511446	319.058038327042	173.6146001402489	25.55522494257545	8.352109363977492	359.9999999999999	
637.4571137278217	310.5586101440044	174.0477325587333	25.85117106405685	8.863213862829001	379.9999999999999	
627.2074062290898	302.1958447276166	172.7667200761718	26.14493898608566	9.380237284110137	399.9999999999999	
616.0336118088119	293.9820632368325	171.140390378981	26.43594154048193	9.903136063831852	419.9999999999999	
604.3338246583052	285.924278908055	169.5198505216866	26.72418857213499	10.43185489464149	439.9999999999999	
591.9213847146808	278.031993778526	166.6603196084068	27.007573333705	10.96633866608419	459.9999999999999	
579.2703594684671	270.3083889856131	164.5287094021773	27.28733356214396	11.50649013275829	479.9999999999999	
566.2680525758957	262.7581482846011	160.9771186262652	27.5610547603711	12.05223680400117	500	
553.2054853014737	255.3820751472481	157.9665722869088	27.82965690591325	12.60345789920859	520.0000000000001	
539.9770556788515	248.1823810715301	154.3238868194029	28.09206512626006	13.16005103732686	540.0000000000001	
526.8408442597237	241.1578364814005	150.4284038194317	28.34784957123107	13.72189233985206	560.0000000000001	
513.6805376249795	234.3087626464008	146.9401996020202	28.59770276680341	14.28884933127668	580.0000000000002	
500.6929699557203	227.6328563803245	142.7740223206943	28.84047190566507	14.86080338661275	600.0000000000002	
487.6147246918224	221.1313267177669	138.0587707999506	29.07522335662664	15.43761282472605	620.0000000000003	
474.7470724701769	214.8013657514978	133.6947271655424	29.3025543042091	16.01911729185858	640.0000000000003	
462.1772698317364	208.6390021537413	129.7845143050821	29.52323643015392	16.60516837794276	660.0000000000005	
449.6604529805987	202.6435294473334	125.334900715386	29.73635255185035	17.19563310654585	680.0000000000005	
437.499193343494	196.8102068694201	120.8472811747102	29.9418380449932	17.79036015758285	700.0000000000006	
425.5438606257544	191.1362887277434	116.0457608472456	30.13915916105836	18.38919691848271	720.0000000000006	
413.7936683164725	185.6190398168571	111.3562925271675	30.32850643029005	18.99198010170388	740.0000000000007	
402.2823791450582	180.2552747615896	106.6796104351355	30.50990159404934	19.59855023030968	760.0000000000007	
391.0939026780439	175.040689392549	102.1059412523927	30.68351981273918	20.20874826219067	780.0000000000008	
380.1750258941971	169.9716890472931	97.14134944971167	30.84869637196502	20.82241865844545	800.0000000000008	
369.4127994038019	165.0461850552424	92.07494916007896	31.00525815929153	21.43939258588475	820.0000000000008	
359.0490479632807	160.258864415732	86.92758972199565	31.15306751394239	22.05949774907058	840.0000000000009	
348.8614490370762	155.607378428571	81.61386564584197	31.29184155392501	22.68255909934943	860.0000000000009	
338.9329174066993	151.0882728631483	76.35933815255561	31.42168093552976	23.30839593042793	880.000000000001	
329.3118352521805	146.6974483931193	70.8566083622691	31.54216362219196	23.93682954913852	900.000000000001	
319.9512164485927	142.4314321738047	65.35485196245696	31.6532912690388	24.56767282158236	920.0000000000011	
310.7835909881961	138.2876509606288	59.24268411455445	31.75402594872751	25.20073864696314	940.0000000000011	
301.9146271102554	134.2621225991587	53.2104535744408	31.84450358452381	25.83581916593769	960.0000000000013	
293.3005395958472	130.3514487378807	47.11714940418562	31.92462032845624	26.47270923762817	980.0000000000013	
284.9250421334457	126.5524481761015	40.57302361491333	31.9936096154701	27.11120164419729	1000.000000000001	
276.7373635097843	122.8626166626377	33.5828239605011	32.05071295346475	27.7510738365067	1020.000000000001	
268.7776967598979	119.2789140391724	26.55291454672327	32.09586282102466	28.39208809557599	1040.000000000001	
261.0367720685256	115.7984237449254	18.97659225505766	32.12813011226859	29.03400535199648	1060.000000000002	
